product,subset,column,dtype_hint
mortgage,loans,loan_id,int64
mortgage,loans,product,object
mortgage,loans,state,object
mortgage,loans,property_type,object
mortgage,loans,occupancy,object
mortgage,loans,loan_type,object
mortgage,loans,mortgage_class,object
mortgage,loans,property_value_orig,float64
mortgage,loans,original_ltv,float64
mortgage,loans,original_principal,float64
mortgage,loans,credit_score,int64
mortgage,loans,dti,float64
mortgage,loans,seasoning_months,int32
mortgage,loans,default_date,datetime64[ns]
mortgage,loans,property_value_at_default,float64
mortgage,loans,ead,float64
mortgage,loans,ltv_at_default,float64
mortgage,loans,lmi_flag,int64
mortgage,loans,lmi_eligible,int64
mortgage,loans,contract_rate_proxy,float64
mortgage,loans,cost_of_funds_proxy,float64
mortgage,loans,discount_rate,float64
mortgage,loans,house_price_decline,float64
mortgage,loans,unemployment_shock,float64
mortgage,loans,rate_shock,float64
mortgage,loans,resolution_type,object
mortgage,loans,workout_months,int64
mortgage,loans,realised_lgd,float64
mortgage,cashflows,loan_id,int64
mortgage,cashflows,product,object
mortgage,cashflows,cashflow_date,datetime64[ns]
mortgage,cashflows,days_from_default,int64
mortgage,cashflows,cashflow_type,object
mortgage,cashflows,cashflow_category,object
mortgage,cashflows,amount,float64
mortgage,cashflows,amount_pv,float64
commercial,loans,loan_id,int64
commercial,loans,product,object
commercial,loans,state,object
commercial,loans,industry,object
commercial,loans,annual_revenue,float64
commercial,loans,ebitda,float64
commercial,loans,leverage_ratio,float64
commercial,loans,interest_coverage_ratio,float64
commercial,loans,years_in_business,int32
commercial,loans,facility_type,object
commercial,loans,facility_limit,float64
commercial,loans,drawn_balance,float64
commercial,loans,undrawn_amount,float64
commercial,loans,ccf,float64
commercial,loans,ead,float64
commercial,loans,seniority,object
commercial,loans,has_director_guarantee,int64
commercial,loans,security_type,object
commercial,loans,collateral_value,float64
commercial,loans,security_coverage_ratio,float64
commercial,loans,default_date,datetime64[ns]
commercial,loans,default_trigger,object
commercial,loans,contract_rate_proxy,float64
commercial,loans,cost_of_funds_proxy,float64
commercial,loans,discount_rate,float64
commercial,loans,resolution_strategy,object
commercial,loans,workout_months,int64
commercial,loans,realised_lgd,float64
commercial,loans,industry_risk_score,float64
commercial,loans,industry_risk_level,object
commercial,loans,industry_debt_to_ebitda_benchmark,float64
commercial,loans,industry_icr_benchmark,float64
commercial,cashflows,loan_id,int64
commercial,cashflows,product,object
commercial,cashflows,cashflow_date,datetime64[ns]
commercial,cashflows,days_from_default,int64
commercial,cashflows,cashflow_type,object
commercial,cashflows,cashflow_category,object
commercial,cashflows,amount,float64
commercial,cashflows,amount_pv,float64
development,loans,loan_id,int64
development,loans,product,object
development,loans,state,object
development,loans,development_type,object
development,loans,industry,object
development,loans,unit_count,int32
development,loans,tdc,float64
development,loans,grv,float64
development,loans,land_value,float64
development,loans,as_is_value,float64
development,loans,as_if_complete_value,float64
development,loans,facility_limit,float64
development,loans,ltc,float64
development,loans,lvr_as_if_complete,float64
development,loans,drawn_balance,float64
development,loans,capitalised_interest,float64
development,loans,ead,float64
development,loans,completion_pct,float64
development,loans,completion_stage,object
development,loans,presale_coverage,float64
development,loans,presale_value,float64
development,loans,cost_to_complete,float64
development,loans,default_date,datetime64[ns]
development,loans,default_trigger,object
development,loans,contract_rate_proxy,float64
