# APRA ADI Performance Statistics — Impairment Ratios by Portfolio
# Source: Australian Prudential Regulation Authority
# URL: https://www.apra.gov.au/quarterly-authorised-deposit-taking-institution-statistics
# Series: Specific provisions / Total assets by loan category (system-wide aggregate)
# Note: These are SYSTEM-WIDE impairment ratios (specific provisions / EAD proxy).
#       They are NOT individual-bank LGD estimates.
#       Use for directional cross-check only — see apra_benchmarks.py for usage guidance.
#       Ratios reflect provisioning behaviour, not realised loss rates.
#       Impairment ratio = specific provisions / gross impaired assets (proxy for implied LGD).
# SYNTHETIC DEMONSTRATION REPO — figures are calibrated to match publicly reported APRA trends.
year,quarter,housing_loans_impairment_ratio,business_loans_impairment_ratio,construction_loans_impairment_ratio,personal_loans_impairment_ratio,total_loans_impairment_ratio,gross_impaired_assets_bn_aud,data_source
2014,Q1,0.165,0.285,0.420,0.380,0.248,32.1,apra_public
2014,Q2,0.162,0.278,0.415,0.375,0.243,31.8,apra_public
2014,Q3,0.160,0.272,0.408,0.370,0.239,31.4,apra_public
2014,Q4,0.158,0.268,0.402,0.365,0.235,30.9,apra_public
2015,Q1,0.155,0.262,0.395,0.360,0.231,30.2,apra_public
2015,Q2,0.153,0.258,0.390,0.355,0.228,29.8,apra_public
2015,Q3,0.150,0.252,0.385,0.350,0.224,29.4,apra_public
2015,Q4,0.148,0.248,0.380,0.345,0.220,29.0,apra_public
2016,Q1,0.145,0.245,0.375,0.342,0.217,28.5,apra_public
2016,Q2,0.143,0.242,0.372,0.340,0.215,28.2,apra_public
2016,Q3,0.141,0.240,0.368,0.338,0.213,27.9,apra_public
2016,Q4,0.139,0.238,0.365,0.335,0.211,27.6,apra_public
2017,Q1,0.137,0.235,0.362,0.332,0.209,27.2,apra_public
2017,Q2,0.135,0.232,0.358,0.330,0.207,26.9,apra_public
2017,Q3,0.133,0.230,0.355,0.328,0.205,26.6,apra_public
2017,Q4,0.131,0.228,0.352,0.325,0.203,26.3,apra_public
2018,Q1,0.130,0.226,0.350,0.323,0.201,26.1,apra_public
2018,Q2,0.129,0.225,0.348,0.322,0.200,25.9,apra_public
2018,Q3,0.128,0.224,0.347,0.321,0.199,25.8,apra_public
2018,Q4,0.127,0.223,0.345,0.320,0.198,25.6,apra_public
2019,Q1,0.128,0.225,0.348,0.322,0.200,25.8,apra_public
2019,Q2,0.130,0.228,0.352,0.325,0.203,26.2,apra_public
2019,Q3,0.132,0.232,0.356,0.328,0.206,26.6,apra_public
2019,Q4,0.135,0.238,0.362,0.333,0.210,27.1,apra_public
2020,Q1,0.145,0.268,0.415,0.362,0.238,30.2,apra_public
2020,Q2,0.165,0.312,0.495,0.398,0.272,35.8,apra_public
2020,Q3,0.175,0.338,0.528,0.415,0.290,38.5,apra_public
2020,Q4,0.178,0.345,0.535,0.420,0.295,39.1,apra_public
2021,Q1,0.172,0.332,0.515,0.408,0.283,37.4,apra_public
2021,Q2,0.162,0.312,0.488,0.388,0.265,34.8,apra_public
2021,Q3,0.152,0.292,0.462,0.368,0.248,32.2,apra_public
2021,Q4,0.145,0.275,0.440,0.352,0.234,30.1,apra_public
2022,Q1,0.138,0.260,0.418,0.338,0.221,28.2,apra_public
2022,Q2,0.133,0.250,0.402,0.328,0.212,26.8,apra_public
2022,Q3,0.130,0.245,0.392,0.322,0.207,26.1,apra_public
2022,Q4,0.128,0.242,0.385,0.318,0.204,25.6,apra_public
2023,Q1,0.130,0.248,0.392,0.325,0.208,26.2,apra_public
2023,Q2,0.133,0.255,0.400,0.332,0.214,26.9,apra_public
2023,Q3,0.136,0.262,0.408,0.338,0.219,27.5,apra_public
2023,Q4,0.139,0.270,0.418,0.345,0.225,28.2,apra_public
2024,Q1,0.142,0.278,0.428,0.352,0.231,29.0,apra_public
2024,Q2,0.145,0.285,0.438,0.358,0.237,29.8,apra_public
2024,Q3,0.147,0.290,0.445,0.362,0.241,30.2,apra_public
2024,Q4,0.148,0.292,0.448,0.365,0.243,30.5,apra_public
