loan_id,product,cashflow_date,days_from_default,cashflow_type,cashflow_category,amount,amount_pv
1,Commercial,2021-04-13,1020,PPSR Inventory,Recovery,857245.22,745004.2
1,Commercial,2018-09-26,90,PPSR Receivables Collection,Recovery,771754.67,762257.4
1,Commercial,2019-05-24,330,PPSR Receivables Collection,Recovery,673877.72,643966.33
1,Commercial,2019-12-20,540,PPSR Plant & Equipment,Recovery,432517.02,401548.02
1,Commercial,2020-01-19,570,PPSR Receivables Collection,Recovery,606793.37,561025.47
1,Commercial,2020-06-17,720,PPSR Inventory,Recovery,1229524.87,1113567.03
1,Commercial,2020-07-17,750,Director Guarantee,Recovery,908355.22,819298.62
1,Commercial,2021-06-12,1080,Receiver/Administrator Fee,Cost,419028.46,361170.35
1,Commercial,2019-05-24,330,Legal Cost,Cost,370146.29,353716.61
1,Commercial,2018-07-14,16,Valuation Fee,Cost,11189.6,11165.0
2,Commercial,2021-07-03,360,PPSR Receivables Collection,Recovery,1554263.42,1466611.11
2,Commercial,2021-08-02,390,PPSR Receivables Collection,Recovery,999437.94,938523.97
2,Commercial,2021-01-04,180,PPSR Receivables Collection,Recovery,168180.94,163369.86
2,Commercial,2021-12-30,540,Receiver/Administrator Fee,Cost,696684.71,638589.54
2,Commercial,2021-05-04,300,Legal Cost,Cost,362573.03,345451.8
2,Commercial,2020-07-30,22,Valuation Fee,Cost,3562.34,3549.73
3,Commercial,2019-02-23,180,PPSR Receivables Collection,Recovery,62573.98,60547.66
3,Commercial,2019-12-20,480,PPSR Receivables Collection,Recovery,300694.28,275423.69
3,Commercial,2019-10-21,420,PPSR Inventory,Recovery,648910.03,600933.07
3,Commercial,2020-02-18,540,PPSR Receivables Collection,Recovery,523002.01,473820.67
3,Commercial,2019-11-20,450,PPSR Plant & Equipment,Recovery,440905.74,406073.48
3,Commercial,2019-05-24,270,PPSR Plant & Equipment,Recovery,1267406.01,1206343.77
3,Commercial,2020-07-17,690,Receiver/Administrator Fee,Cost,718586.27,633396.78
3,Commercial,2019-10-21,420,Legal Cost,Cost,375106.63,347373.23
3,Commercial,2018-10-02,36,Valuation Fee,Cost,5143.38,5109.62
3,Commercial,2019-07-23,330,Asset Management Cost,Cost,230563.24,217060.06
4,Commercial,2020-05-02,780,PPSR Receivables Collection,Recovery,416617.29,365562.2
4,Commercial,2019-12-04,630,PPSR Plant & Equipment,Recovery,46486.17,41827.92
4,Commercial,2019-07-07,480,PPSR Receivables Collection,Recovery,172002.62,158706.96
4,Commercial,2018-12-09,270,PPSR Inventory,Recovery,367292.06,351041.37
4,Commercial,2020-10-29,960,Receiver/Administrator Fee,Cost,199877.15,170170.78
4,Commercial,2019-03-09,360,Legal Cost,Cost,106628.19,100384.74
4,Commercial,2018-04-05,22,Valuation Fee,Cost,13532.26,13482.45
4,Commercial,2019-07-07,480,Asset Management Cost,Cost,66419.38,61285.22
5,Commercial,2021-03-05,300,PPSR Receivables Collection,Recovery,983278.6,933009.45
5,Commercial,2021-11-30,570,PPSR Receivables Collection,Recovery,753194.49,681718.54
5,Commercial,2022-10-26,900,PPSR Receivables Collection,Recovery,13489.44,11524.5
5,Commercial,2021-05-04,360,PPSR Receivables Collection,Recovery,365045.66,342766.63
5,Commercial,2021-10-01,510,PPSR Receivables Collection,Recovery,1006051.61,920187.52
5,Commercial,2023-03-25,1050,PPSR Receivables Collection,Recovery,251468.79,209274.92
5,Commercial,2021-03-05,300,Director Guarantee,Recovery,322783.0,306281.04
5,Commercial,2023-04-24,1080,Receiver/Administrator Fee,Cost,804827.64,666280.24
5,Commercial,2022-03-30,690,Legal Cost,Cost,295989.12,262335.76
5,Commercial,2020-07-05,57,Valuation Fee,Cost,10525.45,10421.02
5,Commercial,2021-10-31,540,Asset Management Cost,Cost,293599.68,267136.11
6,Commercial,2021-08-04,780,PPSR Plant & Equipment,Recovery,1328063.21,1154285.27
6,Commercial,2019-11-13,150,PPSR Plant & Equipment,Recovery,762152.44,741872.43
6,Commercial,2019-12-13,180,PPSR Plant & Equipment,Recovery,871512.38,843759.01
6,Commercial,2020-07-10,390,PPSR Plant & Equipment,Recovery,1219368.86,1136795.39
6,Commercial,2022-01-31,960,PPSR Plant & Equipment,Recovery,210123.4,176812.8
6,Commercial,2022-03-02,990,Receiver/Administrator Fee,Cost,1043923.35,873706.09
6,Commercial,2021-06-05,720,Legal Cost,Cost,588246.74,516819.61
6,Commercial,2019-07-13,27,Valuation Fee,Cost,5537.82,5511.0
7,Commercial,2024-06-07,360,PPSR Receivables Collection,Recovery,1349036.78,1262483.88
7,Commercial,2023-11-10,150,PPSR Receivables Collection,Recovery,336231.59,327068.99
7,Commercial,2024-06-07,360,PPSR Receivables Collection,Recovery,1384492.01,1295664.34
7,Commercial,2023-09-11,90,PPSR Receivables Collection,Recovery,467433.48,459748.51
7,Commercial,2024-08-06,420,Receiver/Administrator Fee,Cost,555720.39,514349.98
7,Commercial,2023-11-10,150,Legal Cost,Cost,271718.39,264313.83
7,Commercial,2023-07-01,18,Valuation Fee,Cost,13731.46,13686.01
8,Commercial,2023-01-28,120,PPSR Receivables Collection,Recovery,41286.46,40498.99
8,Commercial,2024-02-22,510,PPSR Receivables Collection,Recovery,717071.97,660721.02
8,Commercial,2022-12-29,90,PPSR Plant & Equipment,Recovery,908525.12,895497.46
8,Commercial,2023-09-25,360,PPSR Receivables Collection,Recovery,404477.59,381772.06
8,Commercial,2024-05-22,600,Director Guarantee,Recovery,156329.5,141978.88
8,Commercial,2024-07-21,660,Receiver/Administrator Fee,Cost,232691.1,209305.6
8,Commercial,2023-09-25,360,Legal Cost,Cost,286756.7,270659.49
8,Commercial,2022-11-07,38,Valuation Fee,Cost,3813.64,3790.45
8,Commercial,2023-08-26,330,Asset Management Cost,Cost,130081.36,123371.72
9,Commercial,2024-05-20,570,Property Sale,Recovery,3411591.32,3111393.15
9,Commercial,2023-07-25,270,Director Guarantee,Recovery,365069.98,349484.37
9,Commercial,2024-09-17,690,Receiver/Administrator Fee,Cost,280054.6,250506.56
9,Commercial,2024-06-19,600,Legal Cost,Cost,149716.1,135881.71
9,Commercial,2022-11-29,32,Valuation Fee,Cost,12297.13,12233.71
9,Commercial,2023-09-23,330,Asset Management Cost,Cost,54501.47,51671.27
10,Commercial,2023-10-27,420,PPSR Plant & Equipment,Recovery,11616.8,10830.14
10,Commercial,2022-12-01,90,PPSR Plant & Equipment,Recovery,936121.27,922160.63
10,Commercial,2023-05-30,270,PPSR Plant & Equipment,Recovery,542715.46,518794.76
10,Commercial,2024-08-22,720,PPSR Plant & Equipment,Recovery,62587.25,55498.54
10,Commercial,2023-06-29,300,Director Guarantee,Recovery,343448.53,326670.47
10,Commercial,2024-09-21,750,Receiver/Administrator Fee,Cost,162941.92,143765.06
10,Commercial,2023-03-31,210,Legal Cost,Cost,100964.44,97485.99
10,Commercial,2022-10-23,51,Valuation Fee,Cost,12112.42,12009.72
11,Commercial,2023-07-10,450,GSR All-Assets Sweep,Recovery,719392.25,666358.52
11,Commercial,2023-06-10,420,Director Guarantee,Recovery,501696.25,467089.65
11,Commercial,2023-07-10,450,Receiver/Administrator Fee,Cost,417898.16,387090.64
11,Commercial,2022-07-15,90,Legal Cost,Cost,232505.18,228971.32
11,Commercial,2022-05-06,20,Valuation Fee,Cost,2971.84,2961.75
11,Commercial,2022-11-12,210,Asset Management Cost,Cost,160238.28,154612.99
12,Commercial,2023-03-28,150,PPSR Receivables Collection,Recovery,1509039.67,1468243.57
12,Commercial,2023-12-23,420,PPSR Receivables Collection,Recovery,614632.3,569230.6
12,Commercial,2023-03-28,150,PPSR Receivables Collection,Recovery,1198783.77,1166375.27
12,Commercial,2024-07-20,630,Director Guarantee,Recovery,677881.9,604175.8
12,Commercial,2024-07-20,630,Receiver/Administrator Fee,Cost,663144.41,591040.72
12,Commercial,2023-09-24,330,Legal Cost,Cost,397000.93,373771.27
12,Commercial,2022-12-25,57,Valuation Fee,Cost,3741.17,3702.41
12,Commercial,2023-08-25,300,Asset Management Cost,Cost,132158.34,125109.26
13,Commercial,2023-02-01,270,PPSR Plant & Equipment,Recovery,444124.42,423500.11
13,Commercial,2024-07-25,810,PPSR Plant & Equipment,Recovery,4519.55,3918.7
13,Commercial,2023-07-01,420,PPSR Plant & Equipment,Recovery,667393.54,619809.2
13,Commercial,2022-11-03,180,PPSR Plant & Equipment,Recovery,89640.41,86843.32
13,Commercial,2022-09-04,120,PPSR Plant & Equipment,Recovery,302330.43,296008.09
13,Commercial,2024-03-27,690,PPSR Plant & Equipment,Recovery,66234.39,58655.46
13,Commercial,2023-01-02,240,PPSR Plant & Equipment,Recovery,202771.64,194379.58
13,Commercial,2024-05-26,750,Director Guarantee,Recovery,549902.57,481860.69
13,Commercial,2024-08-24,840,Receiver/Administrator Fee,Cost,123505.15,106521.46
13,Commercial,2024-01-27,630,Legal Cost,Cost,176409.07,157882.85
13,Commercial,2022-06-25,49,Valuation Fee,Cost,14054.56,13933.79
13,Commercial,2023-07-01,420,Asset Management Cost,Cost,62909.31,58423.95
14,Commercial,2024-12-21,390,PPSR Receivables Collection,Recovery,1829705.18,1714970.23
14,Commercial,2024-05-25,180,PPSR Receivables Collection,Recovery,1436578.04,1394275.74
14,Commercial,2025-10-17,690,PPSR Receivables Collection,Recovery,829393.19,739608.13
14,Commercial,2025-08-18,630,PPSR Receivables Collection,Recovery,1506772.46,1357112.14
14,Commercial,2024-09-22,300,Director Guarantee,Recovery,1150732.09,1094813.06
14,Commercial,2025-10-17,690,Receiver/Administrator Fee,Cost,838610.3,747827.45
14,Commercial,2025-01-20,420,Legal Cost,Cost,494355.53,461053.63
14,Commercial,2023-12-24,27,Valuation Fee,Cost,2316.24,2305.88
15,Commercial,2025-02-27,600,GSR All-Assets Sweep,Recovery,111996.3,102910.61
15,Commercial,2025-03-29,630,Receiver/Administrator Fee,Cost,81496.98,74569.42
15,Commercial,2024-08-01,390,Legal Cost,Cost,37463.82,35459.18
15,Commercial,2023-08-04,27,Valuation Fee,Cost,2647.58,2637.52
15,Commercial,2024-05-03,300,Asset Management Cost,Cost,23788.91,22803.56
16,Commercial,2022-07-15,210,PPSR Receivables Collection,Recovery,198897.18,193027.95
16,Commercial,2022-06-15,180,PPSR Receivables Collection,Recovery,30849.83,30067.87
16,Commercial,2023-04-11,480,PPSR Receivables Collection,Recovery,60059.52,56085.2
16,Commercial,2022-10-13,300,PPSR Receivables Collection,Recovery,14315.32,13715.68
16,Commercial,2023-04-11,480,PPSR Receivables Collection,Recovery,205187.34,191609.48
16,Commercial,2023-01-11,390,PPSR Receivables Collection,Recovery,284325.38,268941.05
16,Commercial,2022-05-16,150,PPSR Receivables Collection,Recovery,527177.21,516018.04
16,Commercial,2023-04-11,480,Receiver/Administrator Fee,Cost,311910.43,291270.38
16,Commercial,2022-11-12,330,Legal Cost,Cost,176171.89,168071.78
16,Commercial,2022-01-31,45,Valuation Fee,Cost,5337.55,5303.4
17,Commercial,2023-11-24,540,Property Sale,Recovery,2274505.84,2065915.98
17,Commercial,2024-09-19,840,Director Guarantee,Recovery,422683.53,363942.63
17,Commercial,2024-12-18,930,Receiver/Administrator Fee,Cost,249734.59,211608.88
17,Commercial,2024-04-22,690,Legal Cost,Cost,108054.32,95557.27
17,Commercial,2022-07-06,34,Valuation Fee,Cost,13392.84,13311.97
17,Commercial,2023-08-26,450,Asset Management Cost,Cost,58363.46,53867.77
18,Commercial,2022-07-19,90,PPSR Plant & Equipment,Recovery,421180.05,415489.22
18,Commercial,2022-07-19,90,PPSR Plant & Equipment,Recovery,1184735.67,1168727.96
18,Commercial,2023-08-13,480,PPSR Plant & Equipment,Recovery,108290.37,100711.79
18,Commercial,2022-12-16,240,Director Guarantee,Recovery,797439.28,769029.27
18,Commercial,2024-03-10,690,Receiver/Administrator Fee,Cost,188322.35,169670.75
18,Commercial,2023-03-16,330,Legal Cost,Cost,111929.87,106483.72
18,Commercial,2022-05-31,41,Valuation Fee,Cost,12131.75,12056.8
18,Commercial,2023-03-16,330,Asset Management Cost,Cost,106099.89,100937.4
19,Commercial,2020-06-20,120,PPSR Receivables Collection,Recovery,493885.05,484598.44
19,Commercial,2021-09-13,570,PPSR Receivables Collection,Recovery,241131.45,220341.09
19,Commercial,2020-06-20,120,PPSR Receivables Collection,Recovery,1577739.02,1548072.52
19,Commercial,2021-11-12,630,PPSR Receivables Collection,Recovery,101256.83,91652.44
19,Commercial,2021-07-15,510,PPSR Receivables Collection,Recovery,99335.48,91636.39
19,Commercial,2021-11-12,630,Director Guarantee,Recovery,822944.81,744887.04
19,Commercial,2021-11-12,630,Receiver/Administrator Fee,Cost,214930.15,194543.65
19,Commercial,2020-06-20,120,Legal Cost,Cost,241884.26,237336.06
19,Commercial,2020-03-22,30,Valuation Fee,Cost,7725.58,7689.01
20,Commercial,2022-02-27,300,Property Sale,Recovery,1898969.21,1804493.04
20,Commercial,2022-05-28,390,Director Guarantee,Recovery,132646.39,124132.04
20,Commercial,2022-07-27,450,Receiver/Administrator Fee,Cost,116438.46,107858.0
20,Commercial,2021-10-30,180,Legal Cost,Cost,59505.77,57711.38
20,Commercial,2021-05-28,25,Valuation Fee,Cost,8437.46,8401.66
20,Commercial,2021-11-29,210,Asset Management Cost,Cost,37600.39,36280.94
21,Commercial,2019-09-14,390,PPSR Receivables Collection,Recovery,33348.83,31561.72
21,Commercial,2019-04-17,240,PPSR Receivables Collection,Recovery,245015.5,236850.14
21,Commercial,2019-09-14,390,PPSR Receivables Collection,Recovery,58637.3,55495.03
21,Commercial,2019-11-13,450,PPSR Inventory,Recovery,184196.97,172855.28
21,Commercial,2018-12-18,120,PPSR Inventory,Recovery,38842.88,38190.16
21,Commercial,2019-07-16,330,PPSR Receivables Collection,Recovery,92193.9,87995.87
21,Commercial,2019-09-14,390,PPSR Receivables Collection,Recovery,68036.68,64390.72
21,Commercial,2019-12-13,480,Director Guarantee,Recovery,154088.08,143988.98
21,Commercial,2020-01-12,510,Receiver/Administrator Fee,Cost,177306.97,164985.59
21,Commercial,2019-04-17,240,Legal Cost,Cost,59626.3,57639.21
21,Commercial,2018-09-16,27,Valuation Fee,Cost,6846.65,6820.59
21,Commercial,2019-04-17,240,Asset Management Cost,Cost,36699.77,35476.72
22,Commercial,2022-01-21,210,PPSR Receivables Collection,Recovery,241059.29,233039.16
22,Commercial,2022-08-19,420,PPSR Receivables Collection,Recovery,204810.38,191408.85
22,Commercial,2022-05-21,330,PPSR Receivables Collection,Recovery,511326.3,484848.46
22,Commercial,2022-06-20,360,PPSR Receivables Collection,Recovery,366166.94,345531.58
22,Commercial,2022-07-20,390,PPSR Receivables Collection,Recovery,397759.55,373533.84
22,Commercial,2022-03-22,270,PPSR Receivables Collection,Recovery,871034.26,833953.23
22,Commercial,2023-02-15,600,Director Guarantee,Recovery,99237.91,90093.19
22,Commercial,2023-02-15,600,Receiver/Administrator Fee,Cost,122900.04,111574.87
22,Commercial,2021-08-24,60,Legal Cost,Cost,157661.66,156144.8
22,Commercial,2021-08-19,55,Valuation Fee,Cost,2056.76,2038.62
22,Commercial,2022-04-21,300,Asset Management Cost,Cost,87380.38,83257.07
23,Commercial,2021-08-25,210,PPSR Inventory,Recovery,1840355.91,1783696.88
23,Commercial,2022-06-21,510,PPSR Receivables Collection,Recovery,613471.68,568607.6
23,Commercial,2021-08-25,210,PPSR Receivables Collection,Recovery,658605.67,638329.18
23,Commercial,2022-02-21,390,PPSR Inventory,Recovery,1193746.57,1126394.99
23,Commercial,2021-09-24,240,Director Guarantee,Recovery,346670.76,334500.16
23,Commercial,2022-08-20,570,Receiver/Administrator Fee,Cost,530179.31,487035.58
23,Commercial,2021-06-26,150,Legal Cost,Cost,264448.93,258607.59
23,Commercial,2021-03-21,53,Valuation Fee,Cost,10023.68,9944.89
24,Commercial,2019-07-07,120,PPSR Receivables Collection,Recovery,712036.54,698499.06
24,Commercial,2020-04-02,390,PPSR Receivables Collection,Recovery,35509.96,33362.36
24,Commercial,2020-06-01,450,PPSR Receivables Collection,Recovery,410502.69,381992.04
24,Commercial,2021-03-28,750,PPSR Receivables Collection,Recovery,375636.19,333169.01
24,Commercial,2020-03-03,360,PPSR Receivables Collection,Recovery,35041.46,33080.56
24,Commercial,2019-12-04,270,PPSR Receivables Collection,Recovery,1686051.04,1614781.27
24,Commercial,2020-05-02,420,Director Guarantee,Recovery,286852.49,268213.76
24,Commercial,2021-05-27,810,Receiver/Administrator Fee,Cost,355098.16,311944.53
24,Commercial,2020-11-28,630,Legal Cost,Cost,246986.98,223309.75
24,Commercial,2019-03-31,22,Valuation Fee,Cost,4762.46,4745.73
24,Commercial,2020-04-02,390,Asset Management Cost,Cost,132445.12,124434.98
25,Commercial,2018-10-11,240,PPSR Plant & Equipment,Recovery,792137.14,766137.35
25,Commercial,2018-10-11,240,PPSR Plant & Equipment,Recovery,1554376.19,1503357.93
25,Commercial,2018-08-12,180,PPSR Plant & Equipment,Recovery,1417369.91,1382333.72
25,Commercial,2019-04-09,420,PPSR Plant & Equipment,Recovery,66952.21,63154.0
25,Commercial,2019-04-09,420,Receiver/Administrator Fee,Cost,747565.77,705156.25
25,Commercial,2018-04-14,60,Legal Cost,Cost,437196.57,433564.09
25,Commercial,2018-04-10,56,Valuation Fee,Cost,10266.51,10186.87
26,Commercial,2023-10-19,450,GSR All-Assets Sweep,Recovery,2750835.36,2554100.89
26,Commercial,2023-04-22,270,Director Guarantee,Recovery,1252902.15,1198343.23
26,Commercial,2024-01-17,540,Receiver/Administrator Fee,Cost,723057.44,661455.96
26,Commercial,2022-12-23,150,Legal Cost,Cost,472162.3,460626.72
26,Commercial,2022-09-16,52,Valuation Fee,Cost,3351.11,3322.5
27,Commercial,2019-08-04,360,PPSR Receivables Collection,Recovery,148261.86,138745.0
27,Commercial,2019-08-04,360,PPSR Receivables Collection,Recovery,106343.77,99517.61
27,Commercial,2020-01-01,510,PPSR Receivables Collection,Recovery,171613.62,156219.27
27,Commercial,2020-01-01,510,PPSR Receivables Collection,Recovery,352711.58,321072.1
27,Commercial,2019-08-04,360,PPSR Receivables Collection,Recovery,469798.56,439642.4
27,Commercial,2020-07-29,720,PPSR Receivables Collection,Recovery,57217.82,50108.0
27,Commercial,2019-01-06,150,PPSR Receivables Collection,Recovery,444426.39,432309.51
27,Commercial,2019-03-07,210,Director Guarantee,Recovery,206237.87,198408.99
27,Commercial,2020-09-27,780,Receiver/Administrator Fee,Cost,309869.28,268381.32
27,Commercial,2019-09-03,390,Legal Cost,Cost,170010.11,158220.1
27,Commercial,2018-09-11,33,Valuation Fee,Cost,13973.04,13888.32
