loan_id,product,cashflow_date,days_from_default,cashflow_type,cashflow_category,amount,amount_pv
1,Development,2019-05-27,360,As-Is Sale,Recovery,48992276.76,45667565.76
1,Development,2019-05-27,360,Receiver Fee,Cost,1784938.78,1663809.37
1,Development,2018-08-30,90,Legal Cost,Cost,1032903.32,1014915.14
1,Development,2018-07-01,30,Holding Cost,Cost,112063.12,111408.78
1,Development,2018-07-31,60,Holding Cost,Cost,112063.12,110758.25
1,Development,2018-08-30,90,Holding Cost,Cost,112063.12,110111.53
1,Development,2018-09-29,120,Holding Cost,Cost,112063.12,109468.58
1,Development,2018-10-29,150,Holding Cost,Cost,112063.12,108829.38
1,Development,2018-11-28,180,Holding Cost,Cost,112063.12,108193.92
1,Development,2018-12-28,210,Holding Cost,Cost,112063.12,107562.16
1,Development,2019-01-27,240,Holding Cost,Cost,112063.12,106934.1
1,Development,2019-02-26,270,Holding Cost,Cost,112063.12,106309.7
1,Development,2019-03-28,300,Holding Cost,Cost,112063.12,105688.95
1,Development,2019-04-27,330,Holding Cost,Cost,112063.12,105071.83
1,Development,2019-05-27,360,Holding Cost,Cost,112063.12,104458.3
2,Development,2023-10-22,360,As-Is Sale,Recovery,6482750.36,6018615.87
2,Development,2023-10-22,360,Receiver Fee,Cost,529459.66,491552.84
2,Development,2023-03-26,150,Legal Cost,Cost,667574.71,647227.7
2,Development,2022-11-26,30,Holding Cost,Cost,45649.17,45367.45
2,Development,2022-12-26,60,Holding Cost,Cost,45649.17,45087.46
2,Development,2023-01-25,90,Holding Cost,Cost,45649.17,44809.2
2,Development,2023-02-24,120,Holding Cost,Cost,45649.17,44532.66
2,Development,2023-03-26,150,Holding Cost,Cost,45649.17,44257.83
2,Development,2023-04-25,180,Holding Cost,Cost,45649.17,43984.69
2,Development,2023-05-25,210,Holding Cost,Cost,45649.17,43713.24
2,Development,2023-06-24,240,Holding Cost,Cost,45649.17,43443.46
2,Development,2023-07-24,270,Holding Cost,Cost,45649.17,43175.35
2,Development,2023-08-23,300,Holding Cost,Cost,45649.17,42908.89
2,Development,2023-09-22,330,Holding Cost,Cost,45649.17,42644.08
2,Development,2023-10-22,360,Holding Cost,Cost,45649.17,42380.9
3,Development,2021-02-10,570,As-Is Sale,Recovery,16880435.6,14964085.49
3,Development,2021-02-10,570,Receiver Fee,Cost,700621.78,621083.75
3,Development,2020-03-17,240,Legal Cost,Cost,988690.95,939778.3
3,Development,2019-08-20,30,Holding Cost,Cost,72188.32,71731.94
3,Development,2019-09-19,60,Holding Cost,Cost,72188.32,71278.44
3,Development,2019-10-19,90,Holding Cost,Cost,72188.32,70827.8
3,Development,2019-11-18,120,Holding Cost,Cost,72188.32,70380.02
3,Development,2019-12-18,150,Holding Cost,Cost,72188.32,69935.06
3,Development,2020-01-17,180,Holding Cost,Cost,72188.32,69492.92
3,Development,2020-02-16,210,Holding Cost,Cost,72188.32,69053.58
3,Development,2020-03-17,240,Holding Cost,Cost,72188.32,68617.01
3,Development,2020-04-16,270,Holding Cost,Cost,72188.32,68183.2
3,Development,2020-05-16,300,Holding Cost,Cost,72188.32,67752.14
3,Development,2020-06-15,330,Holding Cost,Cost,72188.32,67323.8
3,Development,2020-07-15,360,Holding Cost,Cost,72188.32,66898.17
3,Development,2020-08-14,390,Holding Cost,Cost,72188.32,66475.23
3,Development,2020-09-13,420,Holding Cost,Cost,72188.32,66054.96
3,Development,2020-10-13,450,Holding Cost,Cost,72188.32,65637.35
3,Development,2020-11-12,480,Holding Cost,Cost,72188.32,65222.38
3,Development,2020-12-12,510,Holding Cost,Cost,72188.32,64810.04
3,Development,2021-01-11,540,Holding Cost,Cost,72188.32,64400.3
3,Development,2021-02-10,570,Holding Cost,Cost,72188.32,63993.15
4,Development,2020-06-14,480,As-Is Sale,Recovery,12383781.17,11165577.03
4,Development,2020-06-14,480,Receiver Fee,Cost,393461.18,354756.03
4,Development,2019-05-21,90,Legal Cost,Cost,346270.05,339611.71
4,Development,2019-03-22,30,Holding Cost,Cost,59964.88,59578.04
4,Development,2019-04-21,60,Holding Cost,Cost,59964.88,59193.7
4,Development,2019-05-21,90,Holding Cost,Cost,59964.88,58811.84
4,Development,2019-06-20,120,Holding Cost,Cost,59964.88,58432.43
4,Development,2019-07-20,150,Holding Cost,Cost,59964.88,58055.48
4,Development,2019-08-19,180,Holding Cost,Cost,59964.88,57680.96
4,Development,2019-09-18,210,Holding Cost,Cost,59964.88,57308.85
4,Development,2019-10-18,240,Holding Cost,Cost,59964.88,56939.15
4,Development,2019-11-17,270,Holding Cost,Cost,59964.88,56571.83
4,Development,2019-12-17,300,Holding Cost,Cost,59964.88,56206.87
4,Development,2020-01-16,330,Holding Cost,Cost,59964.88,55844.28
4,Development,2020-02-15,360,Holding Cost,Cost,59964.88,55484.02
4,Development,2020-03-16,390,Holding Cost,Cost,59964.88,55126.09
4,Development,2020-04-15,420,Holding Cost,Cost,59964.88,54770.46
4,Development,2020-05-15,450,Holding Cost,Cost,59964.88,54417.13
4,Development,2020-06-14,480,Holding Cost,Cost,59964.88,54066.08
5,Development,2025-05-31,630,As-Is Sale,Recovery,18610732.05,16061418.95
5,Development,2025-05-31,630,Receiver Fee,Cost,1433141.56,1236828.67
5,Development,2023-12-08,90,Legal Cost,Cost,1173632.12,1149190.56
5,Development,2023-10-09,30,Holding Cost,Cost,113526.62,112733.0
5,Development,2023-11-08,60,Holding Cost,Cost,113526.62,111944.93
5,Development,2023-12-08,90,Holding Cost,Cost,113526.62,111162.36
5,Development,2024-01-07,120,Holding Cost,Cost,113526.62,110385.27
5,Development,2024-02-06,150,Holding Cost,Cost,113526.62,109613.61
5,Development,2024-03-07,180,Holding Cost,Cost,113526.62,108847.34
5,Development,2024-04-06,210,Holding Cost,Cost,113526.62,108086.43
5,Development,2024-05-06,240,Holding Cost,Cost,113526.62,107330.84
5,Development,2024-06-05,270,Holding Cost,Cost,113526.62,106580.53
5,Development,2024-07-05,300,Holding Cost,Cost,113526.62,105835.47
5,Development,2024-08-04,330,Holding Cost,Cost,113526.62,105095.62
5,Development,2024-09-03,360,Holding Cost,Cost,113526.62,104360.93
5,Development,2024-10-03,390,Holding Cost,Cost,113526.62,103631.39
5,Development,2024-11-02,420,Holding Cost,Cost,113526.62,102906.94
5,Development,2024-12-02,450,Holding Cost,Cost,113526.62,102187.56
