loan_id,product,cashflow_date,days_from_default,cashflow_type,cashflow_category,amount,amount_pv
1,Mortgage,2019-07-09,450,Property Sale,Recovery,370905.92,349440.26
1,Mortgage,2019-11-04,568,LMI Claim,Recovery,195518.82,181346.25
1,Mortgage,2019-05-10,390,Legal Cost,Cost,10224.7,9709.84
1,Mortgage,2019-07-09,450,Agent Commission,Cost,8353.74,7870.28
1,Mortgage,2018-11-11,210,Property Preservation,Cost,6440.58,6263.86
1,Mortgage,2018-06-07,53,Valuation Fee,Cost,2559.5,2541.6
2,Mortgage,2019-04-15,30,Borrower Cure,Recovery,120190.28,119666.12
2,Mortgage,2019-05-15,60,Borrower Cure,Recovery,120190.28,119144.24
2,Mortgage,2019-06-14,90,Borrower Cure,Recovery,120190.28,118624.64
2,Mortgage,2019-07-14,120,Borrower Cure,Recovery,120190.28,118107.31
2,Mortgage,2019-08-13,150,Borrower Cure,Recovery,120190.28,117592.23
2,Mortgage,2019-08-13,150,Legal Cost,Cost,4602.16,4502.68
3,Mortgage,2021-08-06,30,Borrower Cure,Recovery,266832.05,266012.96
3,Mortgage,2021-09-05,60,Borrower Cure,Recovery,266832.05,265196.38
3,Mortgage,2021-10-05,90,Borrower Cure,Recovery,266832.05,264382.3
3,Mortgage,2021-11-04,120,Borrower Cure,Recovery,266832.05,263570.73
3,Mortgage,2021-12-04,150,Borrower Cure,Recovery,266832.05,262761.65
3,Mortgage,2022-01-03,180,Borrower Cure,Recovery,266832.05,261955.05
3,Mortgage,2022-01-03,180,Legal Cost,Cost,9989.07,9806.49
4,Mortgage,2022-11-07,240,Property Sale,Recovery,687074.1,669787.82
4,Mortgage,2023-02-17,342,LMI Claim,Recovery,83936.74,80943.61
4,Mortgage,2022-09-08,180,Legal Cost,Cost,18669.41,18316.01
4,Mortgage,2022-11-07,240,Agent Commission,Cost,17671.92,17227.31
4,Mortgage,2022-07-10,120,Property Preservation,Cost,7767.12,7668.79
4,Mortgage,2022-05-05,54,Valuation Fee,Cost,1728.52,1718.64
5,Mortgage,2018-10-16,180,Property Sale,Recovery,773765.57,759218.52
5,Mortgage,2018-08-17,120,Legal Cost,Cost,9198.09,9082.44
5,Mortgage,2018-10-16,180,Agent Commission,Cost,15879.75,15581.2
5,Mortgage,2018-07-18,90,Property Preservation,Cost,6316.51,6256.86
5,Mortgage,2018-05-03,14,Valuation Fee,Cost,1590.54,1588.19
6,Mortgage,2024-03-23,30,Borrower Cure,Recovery,129921.27,129392.7
6,Mortgage,2024-04-22,60,Borrower Cure,Recovery,129921.27,128866.27
6,Mortgage,2024-05-22,90,Borrower Cure,Recovery,129921.27,128341.99
6,Mortgage,2024-06-21,120,Borrower Cure,Recovery,129921.27,127819.84
6,Mortgage,2024-07-21,150,Borrower Cure,Recovery,129921.27,127299.82
6,Mortgage,2024-08-20,180,Borrower Cure,Recovery,129921.27,126781.91
6,Mortgage,2024-08-20,180,Legal Cost,Cost,4603.27,4492.03
7,Mortgage,2023-07-21,30,Borrower Cure,Recovery,267589.92,266755.32
7,Mortgage,2023-08-20,60,Borrower Cure,Recovery,267589.92,265923.32
7,Mortgage,2023-09-19,90,Borrower Cure,Recovery,267589.92,265093.91
7,Mortgage,2023-10-19,120,Borrower Cure,Recovery,267589.92,264267.09
7,Mortgage,2023-10-19,120,Legal Cost,Cost,5264.4,5199.03
8,Mortgage,2020-01-04,30,Borrower Cure,Recovery,214896.64,214267.2
8,Mortgage,2020-02-03,60,Borrower Cure,Recovery,214896.64,213639.61
8,Mortgage,2020-03-04,90,Borrower Cure,Recovery,214896.64,213013.85
8,Mortgage,2020-04-03,120,Borrower Cure,Recovery,214896.64,212389.93
8,Mortgage,2020-05-03,150,Borrower Cure,Recovery,214896.64,211767.84
8,Mortgage,2020-05-03,150,Legal Cost,Cost,6399.73,6306.55
9,Mortgage,2019-08-27,420,Property Sale,Recovery,160059.18,150500.5
9,Mortgage,2019-12-15,530,LMI Claim,Recovery,109425.81,101244.9
9,Mortgage,2019-06-28,360,Legal Cost,Cost,3858.36,3660.0
9,Mortgage,2019-08-27,420,Agent Commission,Cost,3291.46,3094.89
9,Mortgage,2019-01-29,210,Property Preservation,Cost,4162.77,4036.55
9,Mortgage,2018-08-28,56,Valuation Fee,Cost,1236.79,1226.67
10,Mortgage,2019-10-05,240,Property Sale,Recovery,1326925.1,1296837.94
10,Mortgage,2019-08-06,180,Legal Cost,Cost,20467.17,20118.11
10,Mortgage,2019-10-05,240,Agent Commission,Cost,39688.15,38788.24
10,Mortgage,2019-06-07,120,Property Preservation,Cost,12463.1,12320.99
10,Mortgage,2019-03-02,23,Valuation Fee,Cost,1011.78,1009.56
11,Mortgage,2020-03-22,510,Property Sale,Recovery,460813.39,429470.79
11,Mortgage,2020-01-22,450,Legal Cost,Cost,5131.38,4822.16
11,Mortgage,2020-03-22,510,Agent Commission,Cost,9770.4,9105.86
11,Mortgage,2019-06-26,240,Property Preservation,Cost,1568.64,1517.5
11,Mortgage,2018-11-19,21,Valuation Fee,Cost,1376.84,1372.86
12,Mortgage,2019-11-14,390,Property Sale,Recovery,415191.8,397210.2
12,Mortgage,2020-04-01,529,LMI Claim,Recovery,12099.4,11394.16
12,Mortgage,2019-09-15,330,Legal Cost,Cost,4856.07,4677.51
12,Mortgage,2019-11-14,390,Agent Commission,Cost,9098.05,8704.02
12,Mortgage,2019-04-18,180,Property Preservation,Cost,3893.34,3814.59
12,Mortgage,2018-11-15,26,Valuation Fee,Cost,2842.37,2834.0
13,Mortgage,2022-08-08,450,Property Sale,Recovery,4853071.09,4559941.97
13,Mortgage,2022-06-09,390,Legal Cost,Cost,20902.21,19803.53
13,Mortgage,2022-08-08,450,Agent Commission,Cost,103226.45,96991.5
13,Mortgage,2021-12-11,210,Property Preservation,Cost,7730.66,7509.14
13,Mortgage,2021-06-07,23,Valuation Fee,Cost,1263.53,1259.52
14,Mortgage,2020-05-03,270,Property Sale,Recovery,299854.5,290024.1
14,Mortgage,2020-03-04,210,Legal Cost,Cost,10539.48,10269.75
14,Mortgage,2020-05-03,270,Agent Commission,Cost,8690.15,8405.26
14,Mortgage,2019-12-05,120,Property Preservation,Cost,4549.61,4482.7
14,Mortgage,2019-09-15,39,Valuation Fee,Cost,1417.5,1410.69
15,Mortgage,2020-12-25,240,Property Sale,Recovery,4307902.85,4163989.55
15,Mortgage,2020-10-26,180,Legal Cost,Cost,13205.7,12873.43
15,Mortgage,2020-12-25,240,Agent Commission,Cost,117752.3,113818.57
15,Mortgage,2020-08-27,120,Property Preservation,Cost,11387.54,11195.71
15,Mortgage,2020-05-19,20,Valuation Fee,Cost,981.45,978.68
16,Mortgage,2024-07-05,30,Borrower Cure,Recovery,358431.01,356898.23
16,Mortgage,2024-08-04,60,Borrower Cure,Recovery,358431.01,355372.0
16,Mortgage,2024-09-03,90,Borrower Cure,Recovery,358431.01,353852.3
16,Mortgage,2024-09-03,90,Legal Cost,Cost,7942.95,7841.48
17,Mortgage,2022-07-12,30,Borrower Cure,Recovery,140241.82,139843.82
17,Mortgage,2022-08-11,60,Borrower Cure,Recovery,140241.82,139446.95
17,Mortgage,2022-09-10,90,Borrower Cure,Recovery,140241.82,139051.21
17,Mortgage,2022-09-10,90,Legal Cost,Cost,1266.2,1255.45
18,Mortgage,2025-04-24,420,Property Sale,Recovery,3138228.58,3011377.72
18,Mortgage,2025-02-23,360,Legal Cost,Cost,19933.54,19240.88
18,Mortgage,2025-04-24,420,Agent Commission,Cost,81259.15,77974.56
18,Mortgage,2024-09-26,210,Property Preservation,Cost,16326.79,15993.41
18,Mortgage,2024-04-03,34,Valuation Fee,Cost,1007.48,1004.12
19,Mortgage,2019-11-30,360,Property Sale,Recovery,292174.75,281086.32
19,Mortgage,2019-10-01,300,Legal Cost,Cost,6288.94,6089.4
19,Mortgage,2019-11-30,360,Agent Commission,Cost,6126.66,5894.15
19,Mortgage,2019-06-03,180,Property Preservation,Cost,3022.19,2964.28
19,Mortgage,2018-12-23,18,Valuation Fee,Cost,2256.85,2252.48
20,Mortgage,2021-03-22,270,Property Sale,Recovery,1416170.52,1367525.33
20,Mortgage,2021-01-21,210,Legal Cost,Cost,13360.27,13001.94
20,Mortgage,2021-03-22,270,Agent Commission,Cost,32969.44,31836.94
20,Mortgage,2020-10-23,120,Property Preservation,Cost,15340.04,15103.57
20,Mortgage,2020-07-23,28,Valuation Fee,Cost,2326.03,2317.62
21,Mortgage,2021-09-07,30,Borrower Cure,Recovery,516900.12,514720.14
21,Mortgage,2021-10-07,60,Borrower Cure,Recovery,516900.12,512549.35
21,Mortgage,2021-11-06,90,Borrower Cure,Recovery,516900.12,510387.71
21,Mortgage,2021-11-06,90,Legal Cost,Cost,6450.11,6368.85
22,Mortgage,2019-04-28,300,Property Sale,Recovery,1630349.57,1573412.09
22,Mortgage,2019-02-27,240,Legal Cost,Cost,23819.88,23152.03
22,Mortgage,2019-04-28,300,Agent Commission,Cost,45613.96,44020.96
22,Mortgage,2018-11-29,150,Property Preservation,Cost,11979.48,11768.44
22,Mortgage,2018-08-02,31,Valuation Fee,Cost,2946.26,2935.46
23,Mortgage,2018-02-09,30,Borrower Cure,Recovery,300561.09,299425.34
23,Mortgage,2018-03-11,60,Borrower Cure,Recovery,300561.09,298293.88
23,Mortgage,2018-04-10,90,Borrower Cure,Recovery,300561.09,297166.7
23,Mortgage,2018-05-10,120,Borrower Cure,Recovery,300561.09,296043.77
23,Mortgage,2018-05-10,120,Legal Cost,Cost,6896.61,6792.96
24,Mortgage,2022-11-06,180,Property Sale,Recovery,301434.54,295832.9
24,Mortgage,2022-09-07,120,Legal Cost,Cost,3291.69,3250.78
24,Mortgage,2022-11-06,180,Agent Commission,Cost,6573.27,6451.12
24,Mortgage,2022-08-08,90,Property Preservation,Cost,1718.53,1702.49
24,Mortgage,2022-06-23,44,Valuation Fee,Cost,1319.14,1313.1
25,Mortgage,2022-04-02,30,Borrower Cure,Recovery,188365.75,187595.75
25,Mortgage,2022-05-02,60,Borrower Cure,Recovery,188365.75,186828.9
25,Mortgage,2022-06-01,90,Borrower Cure,Recovery,188365.75,186065.19
25,Mortgage,2022-07-01,120,Borrower Cure,Recovery,188365.75,185304.59
25,Mortgage,2022-07-31,150,Borrower Cure,Recovery,188365.75,184547.11
25,Mortgage,2022-07-31,150,Legal Cost,Cost,6169.38,6044.31
26,Mortgage,2022-01-24,510,Property Sale,Recovery,830624.2,771419.84
26,Mortgage,2021-11-25,450,Legal Cost,Cost,11252.75,10542.0
26,Mortgage,2022-01-24,510,Agent Commission,Cost,21636.11,20093.96
26,Mortgage,2021-04-29,240,Property Preservation,Cost,5028.51,4856.54
26,Mortgage,2020-09-28,27,Valuation Fee,Cost,2539.16,2529.24
27,Mortgage,2021-04-06,30,Borrower Cure,Recovery,215101.79,214403.2
27,Mortgage,2021-05-06,60,Borrower Cure,Recovery,215101.79,213706.87
27,Mortgage,2021-06-05,90,Borrower Cure,Recovery,215101.79,213012.81
27,Mortgage,2021-07-05,120,Borrower Cure,Recovery,215101.79,212321.0
27,Mortgage,2021-08-04,150,Borrower Cure,Recovery,215101.79,211631.44
27,Mortgage,2021-08-04,150,Legal Cost,Cost,2600.45,2558.49
28,Mortgage,2021-12-06,450,Property Sale,Recovery,7140139.48,6763814.53
28,Mortgage,2021-10-07,390,Legal Cost,Cost,41076.87,39193.83
28,Mortgage,2021-12-06,450,Agent Commission,Cost,154480.18,146338.22
28,Mortgage,2021-04-10,210,Property Preservation,Cost,9537.12,9299.15
28,Mortgage,2020-11-09,58,Valuation Fee,Cost,852.77,846.84
29,Mortgage,2018-03-28,30,Borrower Cure,Recovery,130795.83,130408.7
29,Mortgage,2018-04-27,60,Borrower Cure,Recovery,130795.83,130022.72
29,Mortgage,2018-05-27,90,Borrower Cure,Recovery,130795.83,129637.88
29,Mortgage,2018-05-27,90,Legal Cost,Cost,1206.9,1196.21
30,Mortgage,2021-03-31,390,Property Sale,Recovery,472647.5,450388.03
30,Mortgage,2021-01-30,330,Legal Cost,Cost,37647.16,36141.39
30,Mortgage,2021-03-31,390,Agent Commission,Cost,11009.75,10491.24
30,Mortgage,2020-09-02,180,Property Preservation,Cost,14907.44,14579.2
30,Mortgage,2020-03-31,25,Valuation Fee,Cost,2618.24,2610.16
31,Mortgage,2020-08-18,540,Property Sale,Recovery,1821258.81,1706301.62
31,Mortgage,2020-06-19,480,Legal Cost,Cost,5110.06,4822.32
31,Mortgage,2020-08-18,540,Agent Commission,Cost,45720.75,42834.87
31,Mortgage,2019-11-22,270,Property Preservation,Cost,6535.06,6325.46
