loan_id,product,cashflow_product,state,industry,annual_revenue,ebitda,ebitda_margin,leverage_ratio,dscr,bureau_score,fcf_margin,revenue_cagr,conduct_classification,years_in_business,pd_estimate,pd_score_band,facility_type,facility_limit,drawn_balance,undrawn_amount,ccf,ead,seniority,has_receivables_security,security_coverage_ratio,default_date,default_trigger,contract_rate_proxy,cost_of_funds_proxy,discount_rate,resolution_strategy,workout_months,realised_lgd,industry_risk_score,industry_risk_level,industry_debt_to_ebitda_benchmark,industry_icr_benchmark,industry_recovery_haircut,lgd_industry_adjusted,macro_downturn_scalar,industry_downturn_adjustment,downturn_scalar,combined_downturn_scalar,overlay_source,parameter_version,scenario_id,lgd_downturn,industry_moc,lgd_with_moc,dscr_stress_overlay,conduct_overlay,supervisory_lgd,lgd_final,std_module,std_security_or_stage_band,std_product_segment,std_cashflow_family,std_property_backed_subtype,std_industry_risk_band
1,Cashflow Lending,Trade Finance,NT,Education & Training,14395232.79,2074432.92,0.1441,4.32,2.3517,620,0.1306,-0.0563,Red,31,0.037751,B,Term,7643263.95,7430765.68,212498.27,1.0,7643263.95,Senior Secured,1,0.6366,2022-09-27,Voluntary Administration,0.0678,0.0625,0.0678,DOCA,26,0.501312,2.3,Medium,1.8,5.0,0.005999999999999997,0.507312,1.1190666666666667,0.985,1.1022806666666667,1.1022806666666667,macro_plus_industry,v1.0,baseline,0.559200209568,0.037392,0.611592209568,0.0,0.015,0.4,0.611592209568,cashflow_lending,B,Trade Finance,Trade Finance,NotApplicable,Low
2,Cashflow Lending,Merchant Cash Advance,VIC,Retail Trade,3112678.48,193310.95,0.0621,40.32,2.729,647,0.1571,0.1464,Green,19,0.017436,A,Revolving,5571357.74,4740345.84,831011.9,0.5183,5171089.12,Senior Unsecured,0,0.0739,2023-11-15,Bureau Downgrade,0.0974,0.063,0.0974,Voluntary Administration,19,0.582236,3.23,Elevated,3.1,3.2,0.0246,0.6068359999999999,1.2240666666666666,1.05475,1.2910843166666668,1.2910843166666668,macro_plus_industry,v1.0,baseline,0.7834764423887333,0.0359856,0.8194620423887332,0.0,0.0,0.55,0.8194620423887332,cashflow_lending,A,Merchant Cash Advance,Merchant Cash Advance,NotApplicable,Elevated
3,Cashflow Lending,Equipment Finance,NSW,Professional Services,1724039.92,76632.98,0.0444,85.98,1.8873,467,0.1055,0.2746,Red,4,0.0688,C,Term,3999262.47,3793948.65,205313.82,1.0,3999262.47,Senior Unsecured,0,0.0346,2018-05-30,Cash Flow Shortfall,0.0656,0.0793,0.0793,Workout,24,0.760909,2.18,Medium,2.3,4.3,0.0036000000000000034,0.764509,1.122,0.976,1.095072,1.095072,macro_plus_industry,v1.0,baseline,0.8371923996480001,0.038976000000000004,0.8911683996480001,0.0,0.015,0.45,0.8911683996480001,cashflow_lending,C,Equipment Finance,Equipment Finance,NotApplicable,Low
4,Cashflow Lending,Invoice Finance,NSW,Real Estate,7188168.69,1285438.37,0.1788,1.57,2.9115,607,-0.014,0.0072,Green,23,0.028014,B,Revolving,1655311.34,1515938.08,139373.26,0.6037,1600080.7,Senior Secured,1,0.6897,2019-09-09,Covenant Breach,0.0722,0.0776,0.0776,Workout,29,0.400825,2.9,Medium,3.8,2.7,0.018,0.418825,1.1299666666666668,1.03,1.163865666666667,1.163865666666667,macro_plus_industry,v1.0,baseline,0.48745603784166674,0.039216,0.5266720378416667,0.0,0.0,0.35,0.5266720378416667,cashflow_lending,B,Invoice Finance,Invoice Finance,NotApplicable,Medium
5,Cashflow Lending,Trade Finance,VIC,Retail Trade,8107660.24,1395578.25,0.1721,2.11,2.7782,697,0.1955,0.0648,Amber,6,0.017729,A,Term,2245694.41,2245371.23,323.19,1.0,2245694.41,Senior Secured,1,0.4596,2021-08-22,Cash Flow Shortfall,0.0845,0.0739,0.0845,Workout,12,0.475177,3.23,Elevated,3.1,3.2,0.0246,0.499777,1.07,1.05475,1.1285825,1.1285825,macro_plus_industry,v1.0,baseline,0.5640395761025001,0.0359856,0.6050251761025001,0.0,0.005,0.4,0.6050251761025001,cashflow_lending,A,Trade Finance,Trade Finance,NotApplicable,Elevated
6,Cashflow Lending,Business Term Loan,VIC,Retail Trade,5317471.95,345091.03,0.0649,13.97,1.4649,671,0.0422,0.2594,Amber,4,0.046979,B,Term,4282871.47,3564776.32,718095.15,1.0,4282871.47,Senior Unsecured,0,0.0173,2024-06-15,Covenant Breach,0.0981,0.0647,0.0981,Workout,16,0.71712,3.23,Elevated,3.1,3.2,0.0246,0.7417199999999999,1.14,1.05475,1.202415,1.202415,macro_plus_industry,v1.0,baseline,0.8918552538,0.0402192,0.9370744538,0.0,0.005,0.45,0.9370744538,cashflow_lending,B,Business Term Loan,Business Term Loan,NotApplicable,Elevated
7,Cashflow Lending,Trade Finance,NSW,Retail Trade,10273690.37,1984398.5,0.1932,2.64,0.9972,459,-0.0335,0.1172,Green,8,0.089161,D,Term,2686664.96,2537686.31,148978.65,1.0,2686664.96,Senior Secured,1,0.4905,2020-01-24,Cash Flow Shortfall,0.0859,0.0592,0.0859,Voluntary Administration,17,0.595939,3.23,Elevated,3.1,3.2,0.0246,0.620539,1.1615843692307692,1.05475,1.2251811134461539,1.2251811134461539,macro_plus_industry,v1.0,baseline,0.7602726629567628,0.0465696,0.8128982629567627,0.0060560000000000015,0.0,0.4,0.8128982629567627,cashflow_lending,D,Trade Finance,Trade Finance,NotApplicable,Elevated
8,Cashflow Lending,Business Term Loan,NSW,Transport,2121339.39,120600.31,0.0569,26.09,1.1546,625,0.1454,-0.1415,Green,32,0.034314,B,Term,3019278.18,2595152.82,424125.37,1.0,3019278.18,Senior Unsecured,0,0.0414,2020-04-01,Bureau Downgrade,0.0809,0.0675,0.0809,Workout,29,0.705649,2.14,Medium,2.6,3.8,0.0028000000000000026,0.708449,1.1971005538461537,0.973,1.1647788388923075,1.1647788388923075,macro_plus_industry,v1.0,baseline,0.8251864036344163,0.036905600000000004,0.8650000036344163,0.0029079999999999996,0.0,0.45,0.8650000036344163,cashflow_lending,B,Business Term Loan,Business Term Loan,NotApplicable,Low
9,Cashflow Lending,Business Line of Credit,NSW,Manufacturing,1907261.37,139456.67,0.0731,44.71,2.1672,715,0.1802,0.0584,Green,34,0.015151,A,Revolving,4466489.72,3091072.98,1375416.75,0.5775,3885409.29,Senior Unsecured,0,0.162,2020-10-12,Voluntary Administration,0.0699,0.0557,0.0699,Voluntary Administration,11,0.56356,3.5,Elevated,3.2,3.1,0.03,0.59356,1.17,1.075,1.25775,1.25775,macro_plus_industry,v1.0,baseline,0.7465500899999999,0.03672,0.7832700899999999,0.0,0.0,0.5,0.7832700899999999,cashflow_lending,A,Business Line of Credit,Business Line of Credit,NotApplicable,Elevated
10,Cashflow Lending,Business Term Loan,QLD,Transport,2296815.05,303552.31,0.1322,28.63,3.2578,726,0.0997,0.1999,Green,13,0.011932,A,Term,7376709.87,5966625.4,1410084.47,1.0,7376709.87,Senior Unsecured,0,0.0866,2021-03-02,Cash Flow Shortfall,0.1025,0.0562,0.1025,Voluntary Administration,13,0.521258,2.14,Medium,2.6,3.8,0.0028000000000000026,0.524058,1.1199999999999999,0.973,1.0897599999999998,1.0897599999999998,macro_plus_industry,v1.0,baseline,0.5710974460799999,0.0330208,0.6041182460799999,0.0,0.0,0.45,0.6041182460799999,cashflow_lending,A,Business Term Loan,Business Term Loan,NotApplicable,Low
