loan_id,product,state,industry,annual_revenue,ebitda,leverage_ratio,interest_coverage_ratio,years_in_business,facility_type,facility_limit,drawn_balance,undrawn_amount,ccf,ead,seniority,has_director_guarantee,security_type,collateral_value,security_coverage_ratio,default_date,default_trigger,contract_rate_proxy,cost_of_funds_proxy,discount_rate,resolution_strategy,workout_months,realised_lgd,industry_risk_score,industry_risk_level,industry_debt_to_ebitda_benchmark,industry_icr_benchmark,discount_rate_proxy_used,discount_rate_source,icr_driver,dscr_driver,industry_driver,industry_recovery_haircut,lgd_industry_adjusted,lgd_base,macro_downturn_scalar,industry_downturn_adjustment,downturn_scalar,combined_downturn_scalar,overlay_source,parameter_version,scenario_id,lgd_downturn,industry_moc,lgd_with_moc,cure_overlay_rate_proxy,liquidation_loss_proxy,lgd_after_cure_overlay_proxy,cure_overlay_applied_flag,cure_overlay_source,supervisory_lgd,lgd_final,std_module,std_security_or_stage_band,std_product_segment,std_cashflow_family,std_property_backed_subtype,std_industry_risk_band
1,Commercial,NSW,Accommodation & Food,32332183.62,3362505.25,5.54,6.56,17,Term Loan,9361831.53,8778335.63,583495.9,1.0,9361831.53,Senior Secured,1,PPSR - Mixed,7327349.23,0.7827,2018-06-28,Voluntary Administration,0.0572,0.0607,0.0607,Workout,23,0.475078,2.68,Medium,2.7,3.7,0.0607,max_contract_vs_cost_of_funds,,,Accommodation & Food,0.013600000000000003,0.488678,0.488678,1.298228,1.0135,1.315754078,1.315754078,macro_plus_industry,v1.0,baseline,0.642980071328884,0.030431999999999997,0.673412071328884,0.07583333333333334,0.673412071328884,0.6223449892531103,True,secured_proxy,0.35,0.673412071328884,commercial,Unknown,PPSR - Mixed,PPSR - Mixed,NotApplicable,Medium
2,Commercial,QLD,Construction,10227603.74,1134952.62,15.22,2.29,15,Term Loan,9825662.42,8897592.09,928070.33,1.0,9825662.42,Senior Secured,0,PPSR - Receivables,5011586.35,0.5101,2020-07-08,90 DPD,0.0709,0.0649,0.0709,Workout,15,0.91459,2.68,Medium,3.3,3.1,0.0709,max_contract_vs_cost_of_funds,,,Construction,0.013600000000000003,0.9281900000000001,0.9281900000000001,1.376364,1.0135,1.394944914,1.394944914,macro_plus_industry,v1.0,baseline,1.2947739197256602,0.030431999999999997,1.3252059197256603,0.09666666666666668,1.0,0.9033333333333333,True,secured_proxy,0.35,1.0,commercial,Unknown,PPSR - Receivables,PPSR - Receivables,NotApplicable,Medium
3,Commercial,NSW,Accommodation & Food,2148240.79,234653.07,73.65,0.45,3,Term Loan,9938944.74,8934014.91,1004929.83,1.0,9938944.74,Senior Secured,0,PPSR - Mixed,10079536.79,1.0141,2018-08-27,Voluntary Administration,0.0835,0.0582,0.0835,Receivership,29,0.566817,2.68,Medium,2.7,3.7,0.0835,max_contract_vs_cost_of_funds,,,Accommodation & Food,0.013600000000000003,0.5804170000000001,0.5804170000000001,1.244,1.0135,1.260794,1.260794,macro_plus_industry,v1.0,baseline,0.7317862710980001,0.030431999999999997,0.7622182710980001,0.09365333333333334,0.7622182710980001,0.690833989282102,True,secured_proxy,0.35,0.7622182710980001,commercial,Unknown,PPSR - Mixed,PPSR - Mixed,NotApplicable,Medium
4,Commercial,NSW,Construction,6901869.31,666887.32,9.25,4.68,13,Term Loan,3557149.29,3093260.15,463889.14,1.0,3557149.29,Senior Secured,0,PPSR - Mixed,2778480.83,0.7811,2018-03-14,90 DPD,0.0746,0.0569,0.0746,Receivership,17,0.798977,2.68,Medium,3.3,3.1,0.0746,max_contract_vs_cost_of_funds,,,Construction,0.013600000000000003,0.8125770000000001,0.8125770000000001,1.2788039999999998,1.0135,1.296067854,1.296067854,macro_plus_industry,v1.0,baseline,1.0531549285997581,0.030431999999999997,1.0835869285997581,0.09666666666666668,1.0,0.9033333333333333,True,secured_proxy,0.35,1.0,commercial,Unknown,PPSR - Mixed,PPSR - Mixed,NotApplicable,Medium
5,Commercial,VIC,Agriculture,4980377.15,974229.61,20.89,1.75,20,Revolving Credit,12251341.51,9098378.9,3152962.61,0.6653,11196031.34,Senior Secured,1,PPSR - Receivables,10403096.02,0.9292,2020-05-09,Receivership,0.0789,0.0462,0.0789,Workout,30,0.560304,3.5,Elevated,2.9,3.6,0.0789,max_contract_vs_cost_of_funds,,,Agriculture,0.03,0.590304,0.590304,1.273488,1.075,1.3689996,1.3689996,macro_plus_industry,v1.0,baseline,0.8081259398784001,0.0324,0.8405259398784001,0.07250666666666668,0.8405259398784001,0.7795822057309502,True,secured_proxy,0.35,0.8405259398784001,commercial,Unknown,PPSR - Receivables,PPSR - Receivables,NotApplicable,Elevated
6,Commercial,WA,Real Estate,14669670.3,1336735.38,15.43,2.11,38,Term Loan,13929283.48,13894548.81,34734.68,1.0,13929283.48,Senior Unsecured,0,PPSR - P&E,8804423.13,0.6321,2019-06-16,Receivership,0.0817,0.0667,0.0817,Receivership,21,0.763384,2.9,Medium,3.8,2.7,0.0817,max_contract_vs_cost_of_funds,,,Real Estate,0.018,0.781384,0.781384,1.344444,1.03,1.38477732,1.38477732,macro_plus_industry,v1.0,baseline,1.08204284141088,0.03096,1.1130028414108801,0.08416666666666668,1.0,0.9158333333333333,True,secured_proxy,0.45,1.0,commercial,Unknown,PPSR - P&E,PPSR - P&E,NotApplicable,Medium
7,Commercial,QLD,Utilities,5229588.43,406028.95,40.09,1.24,39,Overdraft,8124059.63,4215680.58,3908379.05,0.8688,7611122.7,Senior Secured,0,PPSR - Receivables,6607129.58,0.8681,2023-06-13,Covenant Breach,0.0843,0.0673,0.0843,Workout,22,0.741839,1.9,Low,3.0,3.5,0.0843,max_contract_vs_cost_of_funds,,,Utilities,0.0,0.741839,0.741839,1.2634840000000003,0.9549999999999998,1.2066272200000001,1.2066272200000001,macro_plus_industry,v1.0,baseline,0.8951231302575802,0.02856,0.9236831302575802,0.09362000000000001,0.9236831302575802,0.8372079156028656,True,secured_proxy,0.35,0.9236831302575802,commercial,Unknown,PPSR - Receivables,PPSR - Receivables,NotApplicable,Low
8,Commercial,VIC,Transport,2585073.17,227425.13,30.39,0.72,38,Revolving Credit,7919402.53,4118761.3,3800641.23,0.529,6129221.2,Senior Secured,1,PPSR - Mixed,5077019.1,0.8283,2022-09-30,Voluntary Administration,0.0705,0.0538,0.0705,Receivership,13,0.683439,2.14,Medium,2.6,3.8,0.0705,max_contract_vs_cost_of_funds,,,Transport,0.0028000000000000026,0.686239,0.686239,1.261812,0.973,1.2277430759999999,1.2277430759999999,macro_plus_industry,v1.0,baseline,0.842525180731164,0.029136000000000002,0.871661180731164,0.10232666666666668,0.871661180731164,0.7824669976442131,True,secured_proxy,0.35,0.871661180731164,commercial,Unknown,PPSR - Mixed,PPSR - Mixed,NotApplicable,Low
9,Commercial,NSW,Wholesale Trade,6489669.72,1416322.77,6.41,5.64,17,Revolving Credit,4410823.5,2635922.21,1774901.29,0.6336,3760424.59,Senior Secured,1,Property,4418315.89,1.175,2022-10-28,Voluntary Administration,0.0711,0.053,0.0711,Voluntary Administration,27,0.144053,3.23,Elevated,3.5,2.9,0.0711,max_contract_vs_cost_of_funds,,,Wholesale Trade,0.0246,0.168653,0.168653,1.1844999999999999,1.05475,1.249351375,1.249351375,macro_plus_industry,v1.0,baseline,0.210706857447875,0.031752,0.35,0.13416666666666668,0.24245885744787501,0.2099289607402851,True,secured_proxy,0.35,0.35,commercial,Unknown,Property,Property,NotApplicable,Elevated
10,Commercial,QLD,Transport,3262817.17,292476.45,19.74,1.62,38,Revolving Credit,3166864.59,2945554.76,221309.83,0.703,3101135.62,Senior Secured,1,PPSR - P&E,2498884.62,0.8058,2022-09-02,Voluntary Administration,0.0742,0.0638,0.0742,Write-off,31,0.61331,2.14,Medium,2.6,3.8,0.0742,max_contract_vs_cost_of_funds,,,Transport,0.0028000000000000026,0.61611,0.61611,1.3219119999999998,0.973,1.2862203759999997,1.2862203759999997,macro_plus_industry,v1.0,baseline,0.7924532358573599,0.029136000000000002,0.82158923585736,0.04365999999999998,0.82158923585736,0.7857186498198276,True,secured_proxy,0.35,0.82158923585736,commercial,Unknown,PPSR - P&E,PPSR - P&E,NotApplicable,Low
