loan_id,product,state,development_type,industry,unit_count,tdc,grv,land_value,as_is_value,as_if_complete_value,facility_limit,ltc,lvr_as_if_complete,drawn_balance,capitalised_interest,ead,completion_pct,completion_stage,presale_coverage,presale_value,cost_to_complete,default_date,default_trigger,contract_rate_proxy,cost_of_funds_proxy,discount_rate,grv_decline,fund_to_complete,workout_months,realised_lgd,industry_risk_score,industry_risk_level,discount_rate_proxy_used,discount_rate_source,grv_driver,completion_pct_driver,cost_to_complete_driver,industry_recovery_haircut,lgd_industry_adjusted,lgd_base,macro_downturn_scalar,industry_downturn_adjustment,downturn_scalar,combined_downturn_scalar,overlay_source,parameter_version,scenario_id,lgd_downturn,industry_moc,lgd_with_moc,cure_overlay_rate_proxy,liquidation_loss_proxy,lgd_after_cure_overlay_proxy,cure_overlay_applied_flag,cure_overlay_source,lgd_final,std_module,std_security_or_stage_band,std_product_segment,std_cashflow_family,std_property_backed_subtype,std_industry_risk_band,slotting_score,slotting_category,slotting_rw
1,Development,WA,Residential Apartments,Construction,87,67060028.73,102560848.7,19056075.24,88063762.36,102560848.7,51223519.51,0.7638,0.4994,42255822.44,1292751.17,43548573.61,0.7313,Near-Complete,0.5592,57347855.72,19120315.98,2018-06-01,Pre-sale Shortfall,0.0808,0.084,0.084,0.1414,1,15,0.0,2.68,Medium,0.084,max_contract_vs_cost_of_funds,102560848.7,0.7313,19120315.98,0.013600000000000003,0.013600000000000003,0.013600000000000003,1.3219135,1.0135,1.33975933225,1.33975933225,macro_plus_industry,v1.0,baseline,0.018220726918600005,0.05072,0.06894072691860001,0.147104,0.06894072691860001,0.058799270225966274,True,development_stage_presale_lvr_proxy,0.06894072691860001,development,Unknown,Near-Complete,NotApplicable,Residential Apartments,Medium,9.0,Strong,0.7
2,Development,NSW,Residential Apartments,Construction,104,33465201.31,39713216.29,8852615.4,11596301.81,39713216.29,21839789.35,0.6526,0.5499,12932376.14,514569.76,13446945.89,0.2027,Early Construction,0.296,11754985.91,30230903.2,2022-10-27,90 DPD,0.0873,0.0697,0.0873,0.6,0,11,0.598757,2.68,Medium,0.0873,max_contract_vs_cost_of_funds,39713216.29,0.2027,30230903.2,0.013600000000000003,0.612357,0.612357,1.6375000000000002,1.0135,1.6596062500000004,1.6596062500000004,macro_plus_industry,v1.0,baseline,1.0162715044312502,0.05072,1.0669915044312503,0.05,1.0,0.95,True,development_stage_presale_lvr_proxy,1.0,development,Unknown,Early Construction,NotApplicable,Residential Apartments,Medium,5.0,Satisfactory,1.15
3,Development,QLD,Residential Apartments,Construction,103,72804627.96,99555295.69,19894147.43,25891302.16,99555295.69,56143398.72,0.7712,0.5639,22484270.47,825142.77,23309413.24,0.1279,Early Construction,0.6702,66719258.4,68964243.67,2019-07-21,90 DPD,0.0903,0.0831,0.0903,0.6,1,16,0.813184,2.68,Medium,0.0903,max_contract_vs_cost_of_funds,99555295.69,0.1279,68964243.67,0.013600000000000003,0.8267840000000001,0.8267840000000001,1.6375000000000002,1.0135,1.6596062500000004,1.6596062500000004,macro_plus_industry,v1.0,baseline,1.3721358938000003,0.05072,1.4228558938000004,0.070424,1.0,0.929576,True,development_stage_presale_lvr_proxy,1.0,development,Unknown,Early Construction,NotApplicable,Residential Apartments,Medium,6.0,Satisfactory,1.15
4,Development,VIC,Mixed-Use,Construction,20,27005300.42,35542136.82,9085656.23,16652672.48,35542136.82,18378152.64,0.6805,0.5171,11508142.35,590438.06,12098580.41,0.5205,Mid-Construction,0.6113,21726195.84,13816737.32,2019-02-20,90 DPD,0.0929,0.0837,0.0929,0.5315,1,21,0.0,2.68,Medium,0.0929,max_contract_vs_cost_of_funds,35542136.82,0.5205,13816737.32,0.013600000000000003,0.013600000000000003,0.013600000000000003,1.6978325,1.0135,1.7207532387500002,1.7207532387500002,macro_plus_industry,v1.0,baseline,0.023402244047000007,0.05072,0.074122244047,0.093356,0.074122244047,0.06720248783174827,True,development_stage_presale_lvr_proxy,0.074122244047,development,Unknown,Mid-Construction,NotApplicable,Mixed-Use,Medium,8.0,Good,0.9
5,Development,VIC,Residential Apartments,Construction,10,71727648.03,90306832.71,25537112.55,29629764.21,90306832.71,55845588.89,0.7786,0.6184,29162114.41,1945505.7,31107620.1,0.1296,Early Construction,0.3057,27610424.4,57048584.77,2023-09-09,Pre-sale Shortfall,0.1036,0.0785,0.1036,0.6,1,14,0.793988,2.68,Medium,0.1036,max_contract_vs_cost_of_funds,90306832.71,0.1296,57048584.77,0.013600000000000003,0.8075880000000001,0.8075880000000001,1.6375000000000002,1.0135,1.6596062500000004,1.6596062500000004,macro_plus_industry,v1.0,baseline,1.3402780922250004,0.05072,1.3909980922250005,0.05,1.0,0.95,True,development_stage_presale_lvr_proxy,1.0,development,Unknown,Early Construction,NotApplicable,Residential Apartments,Medium,5.0,Satisfactory,1.15
6,Development,QLD,Mixed-Use,Construction,112,11203581.0,16586592.01,3118305.51,13888081.78,16586592.01,7369266.67,0.6578,0.4443,6374560.34,291844.44,6666404.78,0.7355,Near-Complete,0.838,13899776.79,2878493.38,2020-03-30,Interest Reserve Exhausted,0.08,0.0743,0.08,0.1627,1,11,0.0,2.68,Medium,0.08,max_contract_vs_cost_of_funds,16586592.01,0.7355,2878493.38,0.013600000000000003,0.013600000000000003,0.013600000000000003,1.33048675,1.0135,1.348448321125,1.348448321125,macro_plus_industry,v1.0,baseline,0.018338897167300004,0.05072,0.0690588971673,0.18056,0.0690588971673,0.05658962269477231,True,development_stage_presale_lvr_proxy,0.0690588971673,development,Unknown,Near-Complete,NotApplicable,Mixed-Use,Medium,11.0,Strong,0.7
7,Development,VIC,Commercial Office,Professional Services,2,52275976.26,68132075.54,20842680.77,34840507.74,68132075.54,31765731.06,0.6077,0.4662,23042257.8,1698074.85,24740332.65,0.4447,Mid-Construction,0.4972,33875415.59,26385703.58,2019-04-02,Pre-sale Shortfall,0.0754,0.0574,0.0754,0.4886,1,20,0.0,2.18,Medium,0.0754,max_contract_vs_cost_of_funds,68132075.54,0.4447,26385703.58,0.0036000000000000034,0.0036000000000000034,0.0036000000000000034,1.6696463333333336,0.9759999999999999,1.6295748213333334,1.6295748213333334,macro_plus_industry,v1.0,baseline,0.005866469356800006,0.048720000000000006,0.05458646935680001,0.08,0.05458646935680001,0.05021955180825601,True,development_stage_presale_lvr_proxy,0.05458646935680001,development,Unknown,Mid-Construction,NotApplicable,Commercial Office,Low,8.0,Good,0.9
8,Development,VIC,Residential Houses/Lots,Construction,56,58850197.2,67711258.85,21909843.66,25958363.27,67711258.85,42084913.69,0.7151,0.6215,20052899.16,1344918.97,21397818.13,0.1347,Early Construction,0.2624,17767936.21,50387035.69,2024-04-05,Pre-sale Shortfall,0.1017,0.0762,0.1017,0.6,0,9,0.251592,2.68,Medium,0.1017,max_contract_vs_cost_of_funds,67711258.85,0.1347,50387035.69,0.013600000000000003,0.265192,0.265192,1.6375000000000002,1.0135,1.6596062500000004,1.6596062500000004,macro_plus_industry,v1.0,baseline,0.44011430065000007,0.05072,0.49083430065000005,0.05,0.49083430065000005,0.46629258561750003,True,development_stage_presale_lvr_proxy,0.49083430065000005,development,Unknown,Early Construction,NotApplicable,Residential Houses/Lots,Medium,4.0,Satisfactory,1.15
9,Development,VIC,Commercial Office,Professional Services,4,79264518.41,126783933.26,26947404.03,39098897.51,126783933.26,50969987.03,0.643,0.402,23520057.37,1571310.78,25091368.16,0.2035,Early Construction,0.2607,33053282.65,66175212.6,2021-06-01,Builder Insolvency,0.1037,0.0618,0.1037,0.6,0,16,0.128144,2.18,Medium,0.1037,max_contract_vs_cost_of_funds,126783933.26,0.2035,66175212.6,0.0036000000000000034,0.131744,0.131744,1.6375000000000002,0.976,1.5982,1.5982,macro_plus_industry,v1.0,baseline,0.2105532608,0.048720000000000006,0.2592732608,0.05,0.2592732608,0.24630959776,True,development_stage_presale_lvr_proxy,0.2592732608,development,Unknown,Early Construction,NotApplicable,Commercial Office,Low,6.0,Satisfactory,1.15
10,Development,QLD,Residential Apartments,Construction,31,60116978.65,94027063.07,15332259.01,20746092.97,94027063.07,37300321.93,0.6205,0.3967,17313052.15,709127.55,18022179.69,0.1642,Early Construction,0.4499,42298181.67,54862626.02,2020-04-27,Cost Overrun,0.0911,0.0612,0.0911,0.6,0,12,0.292263,2.68,Medium,0.0911,max_contract_vs_cost_of_funds,94027063.07,0.1642,54862626.02,0.013600000000000003,0.305863,0.305863,1.6375000000000002,1.0135,1.6596062500000004,1.6596062500000004,macro_plus_industry,v1.0,baseline,0.5076121464437501,0.05072,0.5583321464437501,0.05,0.5583321464437501,0.5304155391215626,True,development_stage_presale_lvr_proxy,0.5583321464437501,development,Unknown,Early Construction,NotApplicable,Residential Apartments,Medium,6.0,Satisfactory,1.15
