loan_id,source_product,source_loan_id,product_type,security_type,property_type,property_value,current_lvr,loan_stage,industry,ead,pd_score_band,dscr,conduct_classification,house_price_decline,unemployment_shock,rate_shock,value_decline,cashflow_weakness,recovery_delay,grv_decline,cost_overrun,sell_through_delay,lgd_base,lgd_adj_lvr,lgd_adj_stage,lgd_adj_industry,lgd_adj_pd_band,lgd_adj_dscr,lgd_adj_conduct,lgd_adjusted,downturn_scalar,lgd_downturn,lgd_final
MTG-1,Mortgage,1,property,residential,Unit,397611.81,1.5662,,,622746.92,,,,0.5643408667619288,0.02,0.01,,,,,,,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.25,1.2600000000000002,0.31500000000000006,0.31500000000000006
MTG-2,Mortgage,2,property,residential,House,2094776.96,0.2869,,,600951.38,,,,0.0,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.092,0.21840000000000004,0.21840000000000004
MTG-3,Mortgage,3,property,residential,House,2548612.1,0.6282,,,1600992.31,,,,0.0,0.02,0.01,,,,,,,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.22,1.092,0.24024,0.24024
MTG-4,Mortgage,4,property,residential,Unit,814842.35,0.9726,,,792490.53,,,,0.08085731837726325,0.02,0.01,,,,,,,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.25,1.1259600737184505,0.28149001842961263,0.28149001842961263
MTG-5,Mortgage,5,property,residential,Unit,865942.33,0.6153,,,532796.92,,,,0.0735531989358933,0.02,0.01,,,,,,,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.22,1.1228923435530753,0.24703631558167657,0.24703631558167657
MTG-6,Mortgage,6,property,residential,House,491737.43,1.5853,,,779527.64,,,,0.7519867466399184,0.02,0.01,,,,,,,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.25,1.2600000000000002,0.31500000000000006,0.31500000000000006
MTG-7,Mortgage,7,property,residential,Townhouse,1162518.19,0.9207,,,1070359.67,,,,0.11725848756161875,0.02,0.01,,,,,,,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.25,1.14124856477588,0.28531214119397,0.28531214119397
MTG-8,Mortgage,8,property,residential,Unit,1851305.7,0.5804,,,1074483.19,,,,0.08347922551881436,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.127061274717902,0.22541225494358041,0.22541225494358041
MTG-9,Mortgage,9,property,residential,Townhouse,176514.34,1.7235,,,304229.83,,,,0.640161183277339,0.02,0.01,,,,,,,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.25,1.2600000000000002,0.31500000000000006,0.31500000000000006
MTG-10,Mortgage,10,property,residential,Unit,1447932.77,0.841,,,1217644.36,,,,0.0,0.02,0.01,,,,,,,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.25,1.092,0.273,0.273
MTG-11,Mortgage,11,property,residential,Unit,495646.14,0.4331,,,214666.76,,,,0.0,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.092,0.21840000000000004,0.21840000000000004
MTG-12,Mortgage,12,property,residential,House,481303.76,0.8915,,,429063.29,,,,0.0070158844651685625,0.02,0.01,,,,,,,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.25,1.0949466714753708,0.2737366678688427,0.2737366678688427
MTG-13,Mortgage,13,property,residential,Townhouse,5706884.45,0.2425,,,1384092.57,,,,0.0,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.092,0.21840000000000004,0.21840000000000004
MTG-14,Mortgage,14,property,residential,Unit,373486.62,0.9891,,,369405.11,,,,0.42485443175545573,0.02,0.01,,,,,,,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.25,1.2600000000000002,0.31500000000000006,0.31500000000000006
MTG-15,Mortgage,15,property,residential,House,4770683.77,0.1741,,,830433.34,,,,0.0,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.092,0.21840000000000004,0.21840000000000004
MTG-16,Mortgage,16,property,residential,House,1317020.45,0.8165,,,1075293.02,,,,0.0,0.02,0.01,,,,,,,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.25,1.092,0.273,0.273
MTG-17,Mortgage,17,property,residential,House,4666331.83,0.0902,,,420725.45,,,,0.0,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.092,0.21840000000000004,0.21840000000000004
MTG-18,Mortgage,18,property,residential,Unit,3502219.4,0.4548,,,1592638.49,,,,0.0,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.092,0.21840000000000004,0.21840000000000004
MTG-19,Mortgage,19,property,residential,Townhouse,351823.68,0.8196,,,288370.57,,,,0.1136163103776753,0.02,0.01,,,,,,,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.25,1.1397188503586237,0.28492971258965594,0.28492971258965594
MTG-20,Mortgage,20,property,residential,House,1502365.58,0.8799,,,1321976.16,,,,0.1546198044762545,0.02,0.01,,,,,,,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.25,1.156940317880027,0.28923507947000676,0.28923507947000676
MTG-21,Mortgage,21,property,residential,Unit,2269450.96,0.6833,,,1550700.37,,,,0.06271308534455787,0.02,0.01,,,,,,,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.22,1.1183394958447144,0.24603468908583717,0.24603468908583717
MTG-22,Mortgage,22,property,residential,House,1892741.87,0.4453,,,842760.48,,,,0.0,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.092,0.21840000000000004,0.21840000000000004
MTG-23,Mortgage,23,property,residential,Townhouse,6620756.72,0.1816,,,1202244.37,,,,0.0,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.092,0.21840000000000004,0.21840000000000004
MTG-24,Mortgage,24,property,residential,Unit,376517.05,0.7245,,,272771.54,,,,0.1856527862044539,0.02,0.01,,,,,,,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.22,1.1699741702058706,0.2573943174452915,0.2573943174452915
MTG-25,Mortgage,25,property,residential,Unit,1630348.11,0.5777,,,941828.76,,,,0.0,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.092,0.21840000000000004,0.21840000000000004
MTG-26,Mortgage,26,property,residential,House,920850.96,0.5571,,,513047.33,,,,0.0,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.092,0.21840000000000004,0.21840000000000004
MTG-27,Mortgage,27,property,residential,House,2352506.63,0.4572,,,1075508.94,,,,0.0,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.092,0.21840000000000004,0.21840000000000004
MTG-28,Mortgage,28,property,residential,House,8737913.09,0.2045,,,1787149.33,,,,0.0,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.092,0.21840000000000004,0.21840000000000004
MTG-29,Mortgage,29,property,residential,House,846587.28,0.4635,,,392387.49,,,,0.06095389284218152,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.1176006349937164,0.2235201269987433,0.2235201269987433
MTG-30,Mortgage,30,property,residential,Unit,588164.86,2.33,,,1370427.27,,,,0.665144833028375,0.02,0.01,,,,,,,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.25,1.2600000000000002,0.31500000000000006,0.31500000000000006
MTG-31,Mortgage,31,property,residential,Unit,1922565.88,0.2313,,,444731.77,,,,0.0,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.092,0.21840000000000004,0.21840000000000004
MTG-32,Mortgage,32,property,residential,Townhouse,1025048.24,1.1169,,,1144887.53,,,,0.3452095823205453,0.02,0.01,,,,,,,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.25,1.2369880245746292,0.3092470061436573,0.3092470061436573
MTG-33,Mortgage,33,property,residential,Townhouse,1377574.25,0.5296,,,729612.49,,,,0.0,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.092,0.21840000000000004,0.21840000000000004
MTG-34,Mortgage,34,property,residential,Unit,6073358.14,0.1477,,,896874.28,,,,0.0,0.02,0.01,,,,,,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,1.092,0.21840000000000004,0.21840000000000004
MTG-35,Mortgage,35,property,residential,Unit,1968794.82,0.6336,,,1247455.38,,,,0.0,0.02,0.01,,,,,,,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.22,1.092,0.24024,0.24024
MTG-36,Mortgage,36,property,residential,Townhouse,1137649.93,0.7438,,,846144.63,,,,0.0,0.02,0.01,,,,,,,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.22,1.092,0.24024,0.24024
MTG-37,Mortgage,37,property,residential,Unit,501216.34,0.8893,,,445748.31,,,,0.15805251330097583,0.02,0.01,,,,,,,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.25,1.15838205558641,0.2895955138966025,0.2895955138966025
MTG-38,Mortgage,38,property,residential,House,294978.13,1.223,,,360747.99,,,,0.5631123064718025,0.02,0.01,,,,,,,0.2,0.05,0.0,0.0,0.0,0.0,0.0,0.25,1.2600000000000002,0.31500000000000006,0.31500000000000006
MTG-39,Mortgage,39,property,residential,House,1008314.67,0.6602,,,665653.71,,,,0.0,0.02,0.01,,,,,,,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.22,1.092,0.24024,0.24024
MTG-40,Mortgage,40,property,residential,House,857011.7,0.7784,,,667135.18,,,,0.036609053152284556,0.02,0.01,,,,,,,0.2,0.02,0.0,0.0,0.0,0.0,0.0,0.22,1.1073758023239595,0.2436226765112711,0.2436226765112711
