loan_id,product,state,property_type,occupancy,loan_type,mortgage_class,property_value_orig,original_ltv,original_principal,credit_score,dti,seasoning_months,default_date,property_value_at_default,ead,ltv_at_default,lmi_flag,lmi_eligible,contract_rate_proxy,cost_of_funds_proxy,discount_rate,house_price_decline,unemployment_shock,rate_shock,resolution_type,workout_months,realised_lgd,discount_rate_proxy_used,discount_rate_source,arrears_stage_proxy,proxy_arrears_flag,repayment_behaviour_proxy,proxy_behaviour_flag,borrower_type_proxy,cure_rate_proxy,liquidation_loss_proxy,lgd_cure_proxy,foreclosure_channel_flag,cure_overlay_applied_flag,cure_overlay_source,lgd_base,downturn_scalar,house_price_driver,house_price_source,unemployment_driver,unemployment_source,unemployment_year_bucket,rate_shock_driver,rate_shock_source,macro_downturn_scalar,industry_downturn_adjustment,combined_downturn_scalar,overlay_source,parameter_version,scenario_id,lgd_downturn,lgd_with_moc,lgd_after_lmi,lgd_final,std_module,std_security_or_stage_band,std_product_segment,std_cashflow_family,std_property_backed_subtype,std_industry_risk_band,capital_K,rwa,rwa_after_apra_scalar
1,Mortgage,VIC,Unit,Owner-Occupier,P&I,Non-Standard,912667.22,0.8724,796195.84,743,0.489,83,2018-04-15,397611.81,622746.92,1.5662,1,1,0.0532,0.0299,0.0532,0.4,0.01,0.0,Property Sale,15,0.168562,0.0532,max_contract_vs_cost_of_funds,90+,True,stable,True,owner_occupier,0.12332000000000001,0.19227312132134872,0.168562,1,True,mortgage_proxy_two_stage,0.168562,1.2657600000000002,0.4,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0,observed_rate_shock,1.2657600000000002,1.0,1.2657600000000002,macro_only,v1.0,baseline,0.21335903712,0.23335903712,0.18668722969600002,0.18668722969600002,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.044692,347900.41,382690.45
2,Mortgage,TAS,House,Owner-Occupier,P&I,Standard,881004.42,0.844,743600.77,717,0.3,71,2019-03-16,2094776.96,600951.38,0.2869,1,1,0.0595,0.0366,0.0595,0.0,0.01,0.0,Cure,5,0.016928,0.0595,max_contract_vs_cost_of_funds,30-59,True,strong,True,owner_occupier,0.45999999999999996,0.031348148148148146,0.016928,0,True,mortgage_proxy_two_stage,0.016928,1.0929600000000002,0.0,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0,observed_rate_shock,1.0929600000000002,1.0,1.0929600000000002,macro_only,v1.0,baseline,0.01850162688,0.03850162688,0.030801301504,0.1,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.02394,179832.46,197815.7
3,Mortgage,QLD,House,Investor,P&I,Non-Standard,2298447.35,0.7581,1742425.42,721,0.5245,34,2021-07-07,2548612.1,1600992.31,0.6282,0,0,0.0389,0.0459,0.0459,0.0,0.03,0.0071,Cure,6,0.020638,0.0459,max_contract_vs_cost_of_funds,90+,True,strong,True,investor,0.23906,0.02712171787525955,0.020638,0,True,mortgage_proxy_two_stage,0.020638,1.1311488,0.0,observed_house_price_decline,0.03,observed_unemployment_shock,covid_2020_2021,0.0071,observed_rate_shock,1.1311488,1.0,1.1311488,macro_only,v1.0,baseline,0.0233446489344,0.0433446489344,0.0433446489344,0.15,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.03591,718636.46,790500.11
4,Mortgage,QLD,Unit,Investor,P&I,Non-Standard,886524.33,0.9302,824663.74,598,0.5395,20,2022-03-12,814842.35,792490.53,0.9726,1,1,0.0406,0.0412,0.0412,0.0809,0.015,0.0006,Property Sale,16,0.116524,0.0412,max_contract_vs_cost_of_funds,90+,True,weak,True,investor,0.08273999999999998,0.1270348647057541,0.11652399999999999,1,True,mortgage_proxy_two_stage,0.11652399999999999,1.1354256,0.0809,observed_house_price_decline,0.015,observed_unemployment_shock,normalising_2022_2023,0.0006,observed_rate_shock,1.1354256,1.0,1.1354256,macro_only,v1.0,baseline,0.1323043326144,0.1523043326144,0.12184346609152,0.15,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.03591,355724.75,391297.23
5,Mortgage,NSW,Unit,Investor,P&I,Standard,934691.91,0.5902,551667.81,752,0.3999,17,2018-04-19,865942.33,532796.92,0.6153,0,0,0.0403,0.0476,0.0476,0.0736,0.01,0.0073,Cure,4,0.014566,0.0476,max_contract_vs_cost_of_funds,30-59,True,strong,True,investor,0.414012,0.02485716431053196,0.014566,0,True,mortgage_proxy_two_stage,0.014566,1.1373696,0.0736,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0073,observed_rate_shock,1.1373696,1.0,1.1373696,macro_only,v1.0,baseline,0.016566925593600002,0.0365669255936,0.0365669255936,0.1,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.02394,159437.49,175381.24
6,Mortgage,NSW,House,Investor,P&I,Standard,1982706.26,0.5492,1088840.61,695,0.2501,106,2024-02-22,491737.43,779527.64,1.5853,0,0,0.0548,0.051,0.0548,0.4,0.01,0.0,Property Sale,15,0.534212,0.0548,max_contract_vs_cost_of_funds,90+,True,stable,True,investor,0.1,0.5935688888888889,0.534212,1,True,mortgage_proxy_two_stage,0.534212,1.2657600000000002,0.4,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0,observed_rate_shock,1.2657600000000002,1.0,1.2657600000000002,macro_only,v1.0,baseline,0.6761841811200001,0.6961841811200001,0.6961841811200001,0.6961841811200001,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.166664,1623993.98,1786393.38
7,Mortgage,NSW,Townhouse,Investor,P&I,Standard,1316940.66,0.8843,1164548.09,657,0.3311,33,2023-06-21,1162518.19,1070359.67,0.9207,1,0,0.0397,0.047,0.047,0.1173,0.015,0.0074,Property Sale,12,0.163765,0.047,max_contract_vs_cost_of_funds,60-89,True,stable,True,investor,0.25586,0.22007283575671244,0.163765,1,True,mortgage_proxy_two_stage,0.163765,1.1629008000000003,0.1173,observed_house_price_decline,0.015,observed_unemployment_shock,normalising_2022_2023,0.0074,observed_rate_shock,1.1629008000000003,1.0,1.1629008000000003,macro_only,v1.0,baseline,0.19044244951200004,0.21044244951200003,0.21044244951200003,0.21044244951200003,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.050379,674049.56,741454.52
8,Mortgage,WA,Unit,Investor,P&I,Non-Standard,2019927.7,0.6976,1409136.74,688,0.4792,89,2019-12-05,1851305.7,1074483.19,0.5804,0,0,0.0367,0.0425,0.0425,0.0835,0.01,0.0058,Cure,3,0.012642,0.0425,max_contract_vs_cost_of_funds,60-89,True,stable,True,investor,0.26449599999999995,0.017188213796253998,0.012642,0,True,mortgage_proxy_two_stage,0.012642,1.1390544000000002,0.0835,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0058,observed_rate_shock,1.1390544000000002,1.0,1.1390544000000002,macro_only,v1.0,baseline,0.014399925724800004,0.0343999257248,0.0343999257248,0.15,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.03591,482302.63,530532.89
9,Mortgage,QLD,Townhouse,Owner-Occupier,P&I,Non-Standard,490537.24,0.8811,432230.01,573,0.3286,108,2018-07-03,176514.34,304229.83,1.7235,1,1,0.06,0.0398,0.06,0.4,0.01,0.0,Property Sale,17,0.187604,0.06,max_contract_vs_cost_of_funds,90+,True,stable,True,owner_occupier,0.14,0.21814418604651162,0.187604,1,True,mortgage_proxy_two_stage,0.187604,1.2657600000000002,0.4,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0,observed_rate_shock,1.2657600000000002,1.0,1.2657600000000002,macro_only,v1.0,baseline,0.23746163904000003,0.25746163904,0.20596931123200002,0.20596931123200002,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.049308,187513.72,206265.1
10,Mortgage,QLD,Unit,Owner-Occupier,Interest-Only,Non-Standard,1398278.07,0.9019,1261093.83,704,0.2305,29,2019-02-07,1447932.77,1217644.36,0.841,1,1,0.0356,0.029,0.0356,0.0,0.01,0.0,Cure,4,0.014079,0.0356,max_contract_vs_cost_of_funds,30-59,True,strong,True,owner_occupier,0.4518,0.025682232761765778,0.014079,0,True,mortgage_proxy_two_stage,0.014079,1.0929600000000002,0.0,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0,observed_rate_shock,1.0929600000000002,1.0,1.0929600000000002,macro_only,v1.0,baseline,0.015387783840000002,0.035387783840000006,0.028310227072000007,0.15,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.03591,546563.3,601219.63
11,Mortgage,NSW,Unit,Owner-Occupier,Interest-Only,Standard,422269.24,0.5281,223002.88,618,0.3949,26,2018-10-29,495646.14,214666.76,0.4331,0,0,0.0559,0.0516,0.0559,0.0,0.01,0.0,Cure,5,0.020471,0.0559,max_contract_vs_cost_of_funds,60-89,True,stable,True,owner_occupier,0.31461199999999995,0.0298677537394877,0.020471,0,True,mortgage_proxy_two_stage,0.020471,1.0929600000000002,0.0,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0,observed_rate_shock,1.0929600000000002,1.0,1.0929600000000002,macro_only,v1.0,baseline,0.022373984160000002,0.04237398416,0.04237398416,0.1,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.02394,64238.23,70662.05
12,Mortgage,ACT,House,Investor,Interest-Only,Non-Standard,484704.39,0.8976,435050.85,598,0.4958,15,2018-10-20,481303.76,429063.29,0.8915,1,1,0.0441,0.0372,0.0441,0.007,0.01,0.0,Cure,6,0.014662,0.0441,max_contract_vs_cost_of_funds,60-89,True,weak,True,investor,0.18420399999999998,0.01797263041250509,0.014662000000000001,0,True,mortgage_proxy_two_stage,0.014662000000000001,1.095984,0.007,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0,observed_rate_shock,1.095984,1.0,1.095984,macro_only,v1.0,baseline,0.016069317408,0.036069317408,0.0288554539264,0.15,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.03591,192593.38,211852.72
13,Mortgage,WA,Townhouse,Investor,Interest-Only,Non-Standard,2298840.52,0.7017,1613196.57,588,0.4786,115,2021-05-15,5706884.45,1384092.57,0.2425,0,0,0.056,0.0317,0.056,0.0,0.03,0.0,Property Sale,17,0.0,0.056,max_contract_vs_cost_of_funds,60-89,True,stable,True,investor,0.26456799999999997,0.0,0.0,1,True,mortgage_proxy_two_stage,0.0,1.11888,0.0,observed_house_price_decline,0.03,observed_unemployment_shock,covid_2020_2021,0.0,observed_rate_shock,1.11888,1.0,1.11888,macro_only,v1.0,baseline,0.0,0.02,0.02,0.15,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.03591,621276.81,683404.49
14,Mortgage,NSW,Unit,Owner-Occupier,P&I,Standard,649377.55,0.7297,473847.3,746,0.2613,83,2019-08-07,373486.62,369405.11,0.9891,0,0,0.0489,0.044,0.0489,0.4,0.01,0.0,Property Sale,17,0.216854,0.0489,max_contract_vs_cost_of_funds,60-89,True,strong,True,owner_occupier,0.34218,0.32965552886807936,0.216854,1,True,mortgage_proxy_two_stage,0.216854,1.2657600000000002,0.4,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0,observed_rate_shock,1.2657600000000002,1.0,1.2657600000000002,macro_only,v1.0,baseline,0.27448511904000006,0.2944851190400001,0.2944851190400001,0.2944851190400001,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.070499,325532.98,358086.28
15,Mortgage,NSW,House,Investor,P&I,Standard,1494704.47,0.782,1168809.01,642,0.4355,106,2020-04-29,4770683.77,830433.34,0.1741,0,0,0.0575,0.0348,0.0575,0.0,0.03,0.0,Cure,4,0.015054,0.0575,max_contract_vs_cost_of_funds,60-89,True,strong,True,investor,0.32974,0.022459940918449554,0.015054,0,True,mortgage_proxy_two_stage,0.015054,1.11888,0.0,observed_house_price_decline,0.03,observed_unemployment_shock,covid_2020_2021,0.0,observed_rate_shock,1.11888,1.0,1.11888,macro_only,v1.0,baseline,0.016843619520000002,0.03684361952,0.03684361952,0.1,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.02394,248504.08,273354.49
16,Mortgage,NSW,House,Investor,P&I,Non-Standard,1233855.55,0.9169,1131287.82,772,0.2772,23,2024-06-05,1317020.45,1075293.02,0.8165,1,1,0.0582,0.0421,0.0582,0.0,0.01,0.0,Cure,3,0.012119,0.0582,max_contract_vs_cost_of_funds,30-59,True,strong,True,investor,0.4167,0.02077661580661752,0.012118999999999998,0,True,mortgage_proxy_two_stage,0.012118999999999998,1.0929600000000002,0.0,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0,observed_rate_shock,1.0929600000000002,1.0,1.0929600000000002,macro_only,v1.0,baseline,0.01324558224,0.03324558224,0.026596465792000003,0.15,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.03591,482666.14,530932.75
17,Mortgage,NSW,House,Owner-Occupier,P&I,Standard,1096788.15,0.5086,557828.91,647,0.2764,93,2022-06-12,4666331.83,420725.45,0.0902,0,0,0.0352,0.0421,0.0421,0.0,0.015,0.0069,Property Sale,15,0.0,0.0421,max_contract_vs_cost_of_funds,30-59,True,strong,True,owner_occupier,0.45999999999999996,0.0,0.0,1,True,mortgage_proxy_two_stage,0.0,1.1113632,0.0,observed_house_price_decline,0.015,observed_unemployment_shock,normalising_2022_2023,0.0069,observed_rate_shock,1.1113632,1.0,1.1113632,macro_only,v1.0,baseline,0.0,0.02,0.02,0.1,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.02394,125900.52,138490.57
18,Mortgage,VIC,Unit,Owner-Occupier,Interest-Only,Non-Standard,2284641.69,0.7146,1632558.26,577,0.5059,19,2024-02-29,3502219.4,1592638.49,0.4548,0,0,0.0369,0.0387,0.0387,0.0,0.01,0.0018,Property Sale,13,0.0,0.0387,max_contract_vs_cost_of_funds,90+,True,weak,True,owner_occupier,0.161292,0.0,0.0,1,True,mortgage_proxy_two_stage,0.0,1.0960704000000001,0.0,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0018,observed_rate_shock,1.0960704000000001,1.0,1.0960704000000001,macro_only,v1.0,baseline,0.0,0.02,0.02,0.15,mortgage,Unknown,Non-Standard,NotApplicable,Residential Mortgage,Unknown,0.03591,714886.69,786375.36
19,Mortgage,VIC,Townhouse,Investor,P&I,Standard,396920.3,0.8095,321297.03,613,0.2874,39,2018-12-05,351823.68,288370.57,0.8196,1,1,0.0413,0.0481,0.0481,0.1136,0.01,0.0068,Property Sale,14,0.0,0.0481,max_contract_vs_cost_of_funds,60-89,True,strong,True,investor,0.33608,0.0,0.0,1,True,mortgage_proxy_two_stage,0.0,1.1537856,0.1136,observed_house_price_decline,0.01,observed_unemployment_shock,baseline_other_year,0.0068,observed_rate_shock,1.1537856,1.0,1.1537856,macro_only,v1.0,baseline,0.0,0.02,0.016,0.1,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.02394,86293.82,94923.2
20,Mortgage,NSW,House,Owner-Occupier,Interest-Only,Standard,1777147.83,0.8252,1466534.61,754,0.2921,63,2020-06-25,1502365.58,1321976.16,0.8799,1,1,0.0517,0.0344,0.0517,0.1546,0.03,0.0,Property Sale,11,0.105095,0.0517,max_contract_vs_cost_of_funds,30-59,True,strong,True,owner_occupier,0.44401999999999997,0.18902658369006078,0.105095,1,True,mortgage_proxy_two_stage,0.105095,1.1856672,0.1546,observed_house_price_decline,0.03,observed_unemployment_shock,covid_2020_2021,0.0,observed_rate_shock,1.1856672,1.0,1.1856672,macro_only,v1.0,baseline,0.12460769438399999,0.14460769438399998,0.11568615550719999,0.11568615550719999,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.027695,457650.31,503415.34
21,Mortgage,QLD,Unit,Investor,P&I,Standard,2421298.03,0.8116,1965221.35,670,0.2002,81,2021-08-08,2269450.96,1550700.37,0.6833,1,1,0.0572,0.0388,0.0572,0.0627,0.03,0.0,Property Sale,10,0.0,0.0572,max_contract_vs_cost_of_funds,30-59,True,strong,True,investor,0.42,0.0,0.0,1,True,mortgage_proxy_two_stage,0.0,1.1459664,0.0627,observed_house_price_decline,0.03,observed_unemployment_shock,covid_2020_2021,0.0,observed_rate_shock,1.1459664,1.0,1.1459664,macro_only,v1.0,baseline,0.0,0.02,0.016,0.1,mortgage,Unknown,Standard,NotApplicable,Residential Mortgage,Unknown,0.02394,464041.3,510445.43
