loan_id,facility_type,security_type,industry,industry_risk_bucket,drawn_balance,undrawn_amount,ead,ead_base,ead_downturn,gross_receivables_balance,eligible_receivables_balance,ineligible_receivables_pct,debtor_concentration_pct,ageing_over_90d_pct,dilution_pct,collections_control_score,lockbox_sweep_flag,advance_rate,time_to_collect_days,time_to_collect_days_downturn,concentration_band,ageing_band,advance_rate_band,realised_lgd,lgd_base_economic,lgd_downturn,lgd_final_regulatory
1,Revolving Credit,PPSR - Receivables,Construction,Medium,6453830.95,501828.23,6808255.93,6835348.507014148,6798635.348529818,10842898.953806387,8974928.67895217,0.17227590912838564,0.6079027747093313,0.23540702244159184,0.11421046507690351,0.5143217516198587,0,0.770397557031587,82.22015644014614,105.99303242784505,60%+,15-25%,70-80%,0.927459,0.99,1.0,1.0
2,Term Loan,PPSR - Receivables,Retail Trade,Elevated,8010622.07,1634389.07,9645011.14,8596433.362985272,8440785.414655952,15040247.46862666,11378219.22822331,0.243481913980617,0.5792142132267684,0.3010470735482915,0.1233039535798563,0.40725458966188105,0,0.7650634706489818,86.29922243301586,111.31428753960896,40-60%,25%+,70-80%,0.555184,0.767039260011899,0.9011400214152102,0.9361400214152102
3,Revolving Credit,PPSR - Mixed,Health Care,Medium,1164716.44,1132624.89,1875028.82,1543729.98289227,1426776.66985072,2841859.0493816547,2207374.405155857,0.2232639385700188,0.600140112771875,0.1531078593039863,0.11824098493896265,0.4327945165497179,0,0.7315425099490142,90.20987592856766,116.32196155504785,60%+,15-25%,70-80%,0.789355,0.9689633303138206,1.0,1.0
6,Overdraft,PPSR - Mixed,Wholesale Trade,Elevated,9917087.08,4219460.24,13488544.28,9917087.08,10464986.950116603,14906347.198795347,11352752.545363873,0.23839473252834573,0.6041376778061811,0.21864805882139426,0.17493549499215064,0.3746204091987595,0,0.8089793047637012,94.55914130629105,122.35904088728846,60%+,15-25%,80%+,0.837798,0.99,1.0,1.0
12,Revolving Credit,PPSR - Receivables,Construction,Medium,7380307.54,7235128.08,11184921.95,8754932.178953862,7979825.12852178,17227396.113502257,12724556.6559097,0.26137667166446477,0.5443668162827799,0.2205735619870127,0.17107773263482512,0.5809844673277392,0,0.7138574492451143,69.84573756654744,90.35846811854809,40-60%,15-25%,70-80%,0.63589,0.8018675467170557,0.9196227530360678,0.9546227530360678
13,Revolving Credit,PPSR - Mixed,Arts & Recreation,Elevated,2781973.18,561633.46,3173655.5,3230191.8384789852,2935504.8475476443,5949559.123259243,4629008.533484498,0.22195772197845323,0.768193296812291,0.2099271469317219,0.17293491122781574,0.5159270966527321,0,0.7145866971060131,70.02302220955981,90.59822243861365,60%+,15-25%,70-80%,0.874714,0.99,1.0,1.0
15,Term Loan,PPSR - Receivables,Accommodation & Food,Medium,6324989.97,266600.08,6591590.05,6324989.97,6664754.214864177,9349826.122284131,7325951.396855142,0.21646121531665047,0.48673343191397855,0.2966940258082651,0.12392507854141632,0.533579024028801,0,0.7271653836588552,98.66687195977698,127.27178009707865,40-60%,25%+,70-80%,0.950358,0.99,1.0,1.0
17,Term Loan,PPSR - Receivables,Financial Services,Medium,10752164.55,59788.76,10811953.31,10752164.55,11333526.59655272,12030135.260843508,9341605.694923308,0.22348290419235833,0.5337199025683448,0.2002748218306132,0.13564344447190202,0.5044247868144195,0,0.7165943491595411,76.99550581775198,99.38976229616064,40-60%,15-25%,70-80%,0.702829,0.8710653606287404,0.9969514392875373,1.0
19,Overdraft,PPSR - Mixed,Manufacturing,Elevated,3898994.31,3032982.09,6883662.25,4752157.9410484675,4252548.960809577,8914355.900839284,6653662.296147268,0.253601452515394,0.7297961534615824,0.22540616312668998,0.10973888467867329,0.2945859280458517,0,0.7306428343470353,100.46902454583385,129.48238011454046,60%+,15-25%,70-80%,0.771313,0.99,1.0,1.0
21,Revolving Credit,PPSR - Mixed,Professional Services,Medium,12116354.32,1074289.69,12814592.95,13676213.534893837,12766680.140620295,23798752.483015355,19147865.63142257,0.19542565749662802,0.36260060966634045,0.21341616228156624,0.12244636036222734,0.46062812587203794,0,0.7344204994328813,100.44000704848193,129.54709008588432,25-40%,15-25%,70-80%,0.505874,0.6711551098961366,0.7738187442601989,0.808818744260199
23,Revolving Credit,PPSR - Mixed,Transport,Medium,10976415.36,1703299.98,12159750.62,12807062.778049195,11660378.841683466,22091944.934812304,17128203.416472208,0.22468558259523239,0.6538479290662093,0.23799249381528118,0.10243160904469814,0.5204824209138806,0,0.7689311614360475,80.42841325369577,103.60744190732962,60%+,15-25%,70-80%,0.885056,0.99,1.0,1.0
24,Revolving Credit,PPSR - Mixed,Professional Services,Medium,2277681.24,559135.47,2610338.64,2277681.24,2400132.356446653,3860767.8781839944,3015984.0382314515,0.21881238826248933,0.4907955318807014,0.2873746266400244,0.12537684226397455,0.43682206787732825,0,0.7535587990789891,75.88599750020387,97.89522453935115,40-60%,25%+,70-80%,0.828032,0.99,1.0,1.0
28,Overdraft,PPSR - Mixed,Financial Services,Medium,6311856.52,2339168.88,8627611.77,6311856.52,6658253.394987146,10299000.687571242,7425086.155728523,0.27904790173583915,0.5420644142969697,0.23659683386645058,0.16267822781638452,0.5417193494780222,0,0.7737766872580318,105.74835905314126,136.73413603964127,40-60%,15-25%,70-80%,0.570459,0.7562665180343662,0.8761878057217,0.9111878057217
30,Term Loan,PPSR - Receivables,Arts & Recreation,Elevated,9850188.2,1627529.66,11477717.86,9850188.2,10381625.248654017,13349115.881485347,9623607.293655397,0.279082796261966,0.691299185751053,0.24689486528594798,0.13173230082384796,0.5496707381941273,0,0.7336028640980865,67.49901526065399,87.11008358032751,60%+,15-25%,70-80%,0.692341,0.8877876143884825,1.0,1.0
34,Term Loan,PPSR - Receivables,Information Technology,Medium,5419230.82,188718.73,5607949.54,6422791.074662098,6163152.841585472,10577882.832455983,9424141.316768387,0.10907111885826391,0.39823266872738894,0.12237490484327301,0.06990263545537112,0.6951772491022455,1,0.8042397544818963,56.48441936029676,66.96748762718627,25-40%,8-15%,80%+,0.439344,0.5191208995074591,0.5625475796054655,0.5875475796054656
35,Revolving Credit,PPSR - Mixed,Arts & Recreation,Elevated,6862443.28,3917245.02,9487556.52,6862443.28,7241212.11497458,10925535.724356947,7861821.253803954,0.2804177797636844,0.6863981110540112,0.2885753191484458,0.17314858824149168,0.4665062508338932,0,0.7464431233433553,96.77208099889572,125.20873961507853,60%+,25%+,70-80%,0.78637,0.99,1.0,1.0
43,Revolving Credit,PPSR - Mixed,Retail Trade,Elevated,760701.54,504422.56,1090419.38,947519.5922858596,913479.8375489614,1626454.9357452155,1444961.1110932974,0.11158859717730861,0.402666762726237,0.13565198551367474,0.08706478504215141,0.6124493452608897,0,0.7957147208817608,65.37150716115329,77.59370294767025,40-60%,8-15%,70-80%,0.655133,0.794924124411714,0.8754675321524839,0.9004675321524839
45,Overdraft,PPSR - Mixed,Professional Services,Medium,6448208.56,5586220.73,11195066.74,8799813.998356527,8161408.296921906,15977659.571098471,12501495.035631642,0.2175640631219083,0.5742081167991834,0.2884175473831655,0.1216831545506727,0.5483276340939036,0,0.7459130726395367,58.63863868457685,75.62828427895408,40-60%,25%+,70-80%,0.648948,0.8181817955936019,0.9413401178543436,0.9763401178543436
52,Term Loan,PPSR - Receivables,Accommodation & Food,Medium,7119242.06,11596.98,7130839.03,7119242.06,7504357.400792612,12208585.045372397,9058740.194838453,0.25800244981934867,0.32285552673299023,0.20810844753043872,0.13649972636091298,0.5417558749053908,0,0.7716731224634327,73.92016393815554,95.42501641284807,25-40%,15-25%,70-80%,0.946897,0.99,1.0,1.0
53,Revolving Credit,PPSR - Mixed,Manufacturing,Elevated,9772654.98,3156835.18,11488328.89,9772654.98,10315594.32015364,13303617.683463462,10852963.933187526,0.18420957431166457,0.7519931308760003,0.21134569529387806,0.1852331540227331,0.32448698483258787,0,0.7625966797687148,90.00387218002875,116.53869247989005,60%+,15-25%,70-80%,0.608864,0.8457675419656587,1.0,1.0
